Date,Price,Open,High,Low,Vol.,Change %
2024-09-30,3.345,3.302,3.368,3.274,67.90K,1.24%
2024-09-27,3.304,3.173,3.332,3.145,78.66K,20.01%
2024-09-26,2.753,2.829,2.883,2.731,187.37K,-2.27%
2024-09-25,2.817,2.814,2.887,2.795,183.26K,0.93%
2024-09-24,2.791,2.861,2.895,2.776,153.22K,-2.21%
2024-09-23,2.854,2.735,2.874,2.728,212.24K,4.97%
2024-09-20,2.719,2.603,2.743,2.582,183.09K,4.78%
2024-09-19,2.595,2.568,2.604,2.505,138.18K,1.17%
2024-09-18,2.565,2.606,2.656,2.56,95.43K,-1.84%
2024-09-17,2.613,2.645,2.691,2.603,118.35K,-0.99%
2024-09-16,2.639,2.58,2.656,2.547,108.85K,1.93%
2024-09-13,2.589,2.638,2.666,2.575,109.16K,-1.67%
2024-09-12,2.633,2.583,2.666,2.533,138.04K,2.17%
2024-09-11,2.577,2.538,2.597,2.513,114.66K,1.26%
2024-09-10,2.545,2.516,2.58,2.497,111.76K,0.71%
2024-09-09,2.527,2.557,2.581,2.506,109.25K,-2.70%
2024-09-06,2.597,2.58,2.615,2.561,60.76K,0.70%
2024-09-05,2.579,2.503,2.614,2.482,74.26K,2.91%
2024-09-04,2.506,2.541,2.612,2.499,62.74K,-1.73%
2024-09-03,2.55,2.512,2.571,2.439,97.33K,2.08%
2024-08-30,2.498,2.535,2.553,2.479,66.97K,-1.23%
2024-08-29,2.529,2.524,2.552,2.454,62.68K,20.60%
2024-08-28,2.097,2.085,2.14,2.021,165.22K,0.58%
2024-08-27,2.085,2.123,2.126,2.045,182.03K,-2.11%
2024-08-26,2.13,2.16,2.186,2.114,121.32K,-2.29%
2024-08-23,2.18,2.201,2.211,2.154,112.32K,-0.64%
2024-08-22,2.194,2.328,2.337,2.167,166.91K,-5.19%
2024-08-21,2.314,2.333,2.364,2.271,105.72K,-0.69%
2024-08-20,2.33,2.367,2.401,2.301,100.47K,-1.15%
2024-08-19,2.357,2.25,2.374,2.225,133.82K,4.90%
2024-08-16,2.247,2.341,2.343,2.237,107.16K,-3.64%
2024-08-15,2.332,2.345,2.421,2.317,121.87K,-0.47%
2024-08-14,2.343,2.288,2.395,2.272,126.59K,2.76%
2024-08-13,2.28,2.324,2.373,2.267,119.24K,-2.65%
2024-08-12,2.342,2.311,2.394,2.301,99.38K,2.18%
2024-08-09,2.292,2.29,2.333,2.247,103.64K,0.97%
2024-08-08,2.27,2.228,2.321,2.161,135.05K,1.38%
2024-08-07,2.239,2.133,2.247,2.125,118.66K,5.56%
2024-08-06,2.121,2.058,2.14,2.015,83.46K,3.72%
2024-08-05,2.045,2.069,2.083,1.991,69.66K,-1.59%
2024-08-02,2.078,2.114,2.147,2.041,87.31K,-0.86%
2024-08-01,2.096,2.158,2.243,2.093,97.44K,-3.05%
2024-07-31,2.162,2.241,2.261,2.149,79.09K,-3.65%
2024-07-30,2.244,2.189,2.252,2.113,71.34K,10.22%
2024-07-29,2.036,2.053,2.102,1.999,162.68K,-0.73%
2024-07-26,2.051,2.082,2.096,2.039,149.81K,-1.01%
2024-07-25,2.072,2.161,2.193,2.064,158.13K,-3.99%
2024-07-24,2.158,2.19,2.208,2.139,133.12K,-2.97%
2024-07-23,2.224,2.279,2.29,2.16,127.42K,-2.71%
2024-07-22,2.286,2.145,2.302,2.131,141.07K,5.59%
2024-07-19,2.165,2.128,2.179,2.095,101.00K,-0.14%
2024-07-18,2.168,2.088,2.172,2.063,147.92K,4.68%
2024-07-17,2.071,2.203,2.224,2.055,187.04K,-6.12%
2024-07-16,2.206,2.189,2.235,2.171,121.32K,1.29%
2024-07-15,2.178,2.283,2.284,2.167,162.46K,-6.56%
2024-07-12,2.331,2.287,2.357,2.252,101.06K,2.15%
2024-07-11,2.282,2.339,2.353,2.277,100.06K,-2.69%
2024-07-10,2.345,2.366,2.396,2.313,107.30K,-0.64%
2024-07-09,2.36,2.384,2.454,2.351,106.05K,-0.92%
2024-07-08,2.382,2.3,2.417,2.3,126.72K,1.36%
2024-07-05,2.35,2.459,2.466,2.347,98.43K,-0.89%
2024-07-04,2.371,2.431,2.439,2.335,,-3.11%
2024-07-03,2.447,2.485,2.503,2.434,70.97K,-0.29%
2024-07-02,2.454,2.482,2.497,2.436,96.17K,-1.52%
2024-07-01,2.492,2.581,2.599,2.474,107.00K,-4.08%
2024-06-28,2.598,2.694,2.749,2.591,80.15K,-2.88%
2024-06-27,2.675,2.725,2.773,2.665,61.99K,-2.55%
2024-06-26,2.745,2.85,2.863,2.731,141.35K,-4.12%
2024-06-25,2.863,2.943,2.951,2.831,158.42K,-2.88%
2024-06-24,2.948,2.813,2.953,2.78,139.60K,3.95%
2024-06-21,2.836,2.838,2.888,2.793,104.88K,-0.63%
2024-06-20,2.854,2.995,3.027,2.833,131.81K,-2.13%
2024-06-19,2.916,2.904,2.928,2.859,,-2.47%
2024-06-18,2.99,2.87,2.997,2.858,91.14K,4.29%
2024-06-17,2.867,2.93,2.93,2.837,96.87K,-3.24%
2024-06-14,2.963,3.0,3.068,2.95,80.26K,-2.44%
2024-06-13,3.037,3.104,3.167,2.978,94.27K,-2.72%
2024-06-12,3.122,3.194,3.194,3.073,101.31K,-2.22%
2024-06-11,3.193,3.046,3.221,3.031,85.32K,7.26%
2024-06-10,2.977,3.055,3.163,2.945,106.18K,-0.63%
2024-06-07,2.996,2.883,3.037,2.871,93.24K,3.60%
2024-06-06,2.892,2.829,2.946,2.796,73.60K,2.26%
2024-06-05,2.828,2.694,2.854,2.681,76.26K,5.92%
2024-06-04,2.67,2.814,2.874,2.656,87.22K,-4.78%
2024-06-03,2.804,2.716,2.85,2.688,99.26K,5.33%
2024-05-31,2.662,2.647,2.701,2.605,61.48K,0.57%
2024-05-30,2.647,2.715,2.731,2.637,73.51K,-0.71%
2024-05-29,2.666,2.836,2.848,2.655,161.40K,-5.63%
2024-05-28,2.825,2.761,2.853,2.732,211.82K,1.62%
2024-05-27,2.78,2.747,2.853,2.742,,1.16%
2024-05-26,2.748,2.747,2.76,2.732,,-0.90%
2024-05-24,2.773,2.938,2.965,2.759,165.96K,-5.13%
2024-05-23,2.923,3.004,3.161,2.896,274.51K,-4.23%
2024-05-22,3.052,2.834,3.06,2.786,213.50K,7.50%
2024-05-21,2.839,2.891,2.945,2.802,156.13K,-2.14%
2024-05-20,2.901,2.815,2.905,2.785,172.08K,4.02%
2024-05-17,2.789,2.681,2.809,2.673,146.53K,3.80%
2024-05-16,2.687,2.622,2.753,2.609,152.35K,2.13%
2024-05-15,2.631,2.559,2.637,2.542,129.40K,2.81%
2024-05-14,2.559,2.576,2.61,2.52,104.01K,-1.08%
2024-05-13,2.587,2.477,2.59,2.447,119.01K,4.15%
2024-05-10,2.484,2.539,2.567,2.473,119.37K,-2.09%
2024-05-09,2.537,2.47,2.561,2.438,160.91K,2.55%
2024-05-08,2.474,2.479,2.533,2.45,111.54K,0.12%
2024-05-07,2.471,2.476,2.493,2.423,92.67K,0.32%
2024-05-06,2.463,2.439,2.521,2.396,100.91K,1.95%
2024-05-03,2.416,2.333,2.43,2.305,104.78K,3.65%
2024-05-02,2.331,2.263,2.344,2.261,70.43K,2.87%
2024-05-01,2.266,2.285,2.3,2.255,74.76K,-2.29%
2024-04-30,2.319,2.394,2.42,2.287,80.03K,-2.28%
2024-04-29,2.373,2.282,2.391,2.279,80.44K,23.40%
2024-04-26,1.923,1.977,2.002,1.909,119.52K,-3.17%
2024-04-25,1.986,1.969,1.993,1.926,158.31K,0.35%
2024-04-24,1.979,2.128,2.133,1.96,182.16K,-5.49%
2024-04-23,2.094,2.07,2.14,2.018,150.38K,1.40%
2024-04-22,2.065,1.988,2.072,1.961,116.22K,3.87%
2024-04-19,1.988,1.974,2.029,1.951,112.54K,0.10%
2024-04-18,1.986,1.971,2.004,1.964,106.14K,1.22%
2024-04-17,1.962,1.94,1.976,1.914,97.83K,-1.31%
2024-04-16,1.988,1.946,2.046,1.907,133.97K,2.16%
2024-04-15,1.946,2.035,2.052,1.931,105.81K,-4.09%
2024-04-12,2.029,2.005,2.043,1.973,94.17K,1.45%
2024-04-11,2.0,2.061,2.074,1.992,120.91K,-3.57%
2024-04-10,2.074,2.085,2.118,2.054,86.43K,0.48%
2024-04-09,2.064,2.046,2.11,2.037,109.83K,0.63%
2024-04-08,2.051,1.996,2.057,1.975,96.95K,2.04%
2024-04-05,2.01,2.001,2.036,1.972,75.18K,0.65%
2024-04-04,1.997,2.068,2.074,1.992,93.95K,-3.39%
2024-04-03,2.067,2.093,2.136,2.06,56.65K,-1.81%
2024-04-02,2.105,2.075,2.115,2.018,66.68K,1.49%
2024-04-01,2.074,1.999,2.088,1.958,67.72K,3.86%
2024-03-28,1.997,1.954,2.017,1.928,45.87K,2.25%
2024-03-27,1.953,2.012,2.014,1.943,47.25K,9.23%
2024-03-26,1.788,1.805,1.83,1.775,123.17K,-0.06%
2024-03-25,1.789,1.817,1.825,1.758,147.53K,-1.27%
2024-03-22,1.812,1.838,1.859,1.791,105.07K,-1.04%
2024-03-21,1.831,1.839,1.855,1.797,143.83K,-0.76%
2024-03-20,1.845,1.882,1.9,1.824,136.83K,-1.65%
2024-03-19,1.876,1.844,1.89,1.832,122.80K,2.35%
2024-03-18,1.833,1.824,1.884,1.801,118.33K,2.46%
2024-03-15,1.789,1.875,1.893,1.781,137.15K,-3.92%
