Date,Price,Open,High,Low,Vol.,Change %
2024-09-30,145.1,149.0,149.0,145.0,0.01K,3.83%
2024-09-27,139.75,139.75,139.75,139.75,,0.11%
2024-09-26,139.6,139.6,139.6,139.6,,-0.11%
2024-09-25,139.75,139.75,139.75,139.75,,0.18%
2024-09-24,139.5,139.5,139.5,139.5,0.00K,0.00%
2024-09-23,139.5,139.5,139.5,139.5,,0.00%
2024-09-20,139.5,139.5,139.5,139.5,,0.00%
2024-09-19,139.5,140.0,140.0,140.0,0.01K,0.36%
2024-09-18,139.0,139.0,139.0,139.0,,-0.47%
2024-09-17,139.65,139.0,139.0,139.0,0.00K,1.75%
2024-09-16,137.25,137.25,137.25,137.25,,-0.47%
2024-09-13,137.9,137.9,137.9,137.9,,-0.18%
2024-09-12,138.15,138.15,138.15,138.15,0.00K,-0.61%
2024-09-11,139.0,139.0,139.0,139.0,,0.18%
2024-09-10,138.75,139.5,139.5,139.5,0.02K,-2.05%
2024-09-09,141.65,141.65,141.65,141.65,,0.11%
2024-09-06,141.5,141.35,141.35,141.35,0.00K,0.35%
2024-09-05,141.0,141.0,141.0,141.0,0.01K,1.08%
2024-09-04,139.5,139.5,139.5,139.5,0.03K,-1.76%
2024-09-03,142.0,142.0,142.0,142.0,0.05K,-1.32%
2024-09-02,143.9,143.9,143.9,143.9,,-1.57%
2024-08-30,146.2,146.2,146.2,146.2,,0.83%
2024-08-29,145.0,145.0,145.0,145.0,,0.00%
2024-08-28,145.0,145.0,145.0,145.0,,-0.68%
2024-08-27,146.0,146.0,146.0,146.0,,0.21%
2024-08-26,145.7,145.7,145.7,145.7,,0.34%
2024-08-23,145.2,145.2,145.2,145.2,,-1.06%
2024-08-22,146.75,146.75,146.75,146.75,,0.58%
2024-08-21,145.9,145.9,145.9,145.9,,-0.07%
2024-08-20,146.0,148.25,148.25,148.25,0.01K,-0.34%
2024-08-19,146.5,146.5,146.5,146.5,,-0.17%
2024-08-16,146.75,146.75,146.75,146.75,,-2.17%
2024-08-15,150.0,150.0,150.0,150.0,0.01K,2.92%
2024-08-14,145.75,145.75,145.75,145.75,,-0.78%
2024-08-13,146.9,146.9,146.9,146.9,,0.10%
2024-08-12,146.75,146.75,146.75,146.75,,0.51%
2024-08-09,146.0,146.0,146.0,146.0,,0.34%
2024-08-08,145.5,145.5,145.5,145.5,,0.34%
2024-08-07,145.0,145.0,145.0,145.0,,-0.34%
2024-08-06,145.5,145.5,145.5,145.5,0.02K,1.25%
2024-08-05,143.7,143.7,143.7,143.7,0.03K,-0.28%
2024-08-02,144.1,144.1,144.1,144.1,,1.09%
2024-08-01,142.55,141.0,144.0,141.0,0.01K,1.75%
2024-07-31,140.1,139.5,140.5,139.5,0.02K,0.61%
2024-07-30,139.25,139.25,139.25,139.25,0.03K,-0.61%
2024-07-29,140.1,140.1,140.1,140.1,0.01K,3.93%
2024-07-26,134.8,134.8,134.8,134.8,,0.04%
2024-07-25,134.75,134.75,134.75,134.75,,0.00%
2024-07-24,134.75,134.75,134.75,134.75,,0.04%
2024-07-23,134.7,134.7,134.7,134.7,,-0.22%
2024-07-22,135.0,135.0,135.0,135.0,0.01K,-0.07%
2024-07-19,135.1,135.1,135.1,135.1,,0.07%
2024-07-18,135.0,135.0,135.0,135.0,,0.19%
2024-07-17,134.75,134.75,134.75,134.75,0.02K,0.26%
2024-07-16,134.4,134.4,134.4,134.4,,-0.41%
2024-07-15,134.95,134.85,134.85,134.85,0.03K,0.82%
2024-07-12,133.85,133.0,134.0,133.0,0.01K,0.07%
2024-07-11,133.75,133.75,133.75,133.75,,0.00%
2024-07-10,133.75,133.75,133.75,133.75,,-1.11%
2024-07-09,135.25,135.25,135.25,135.25,0.04K,0.15%
2024-07-08,135.05,135.0,135.0,135.0,0.00K,-0.52%
2024-07-05,135.75,135.75,135.75,135.75,0.01K,-0.55%
2024-07-04,136.5,136.5,136.5,136.5,,1.11%
2024-07-03,135.0,135.0,135.0,135.0,0.11K,2.08%
2024-07-02,132.25,132.25,132.25,132.25,0.01K,0.11%
2024-07-01,132.1,132.1,132.1,132.1,0.00K,-1.01%
2024-06-28,133.45,133.45,133.45,133.45,,0.53%
2024-06-27,132.75,132.75,132.75,132.75,,0.57%
2024-06-26,132.0,132.0,132.0,132.0,,-1.57%
2024-06-25,134.1,134.1,134.1,134.1,,0.86%
2024-06-24,132.95,132.95,132.95,132.95,,0.68%
2024-06-21,132.05,132.05,132.05,132.05,,-1.38%
2024-06-20,133.9,133.9,133.9,133.9,,-0.15%
2024-06-19,134.1,134.1,134.1,134.1,,0.15%
2024-06-18,133.9,133.9,133.9,133.9,,0.00%
2024-06-17,133.9,133.9,133.9,133.9,,0.56%
2024-06-14,133.15,133.15,133.15,133.15,,-1.15%
2024-06-13,134.7,134.7,134.7,134.7,,1.32%
2024-06-12,132.95,132.95,132.95,132.95,,1.30%
2024-06-11,131.25,131.25,131.25,131.25,,-0.46%
2024-06-10,131.85,131.85,131.85,131.85,0.01K,0.30%
2024-06-07,131.45,131.0,131.0,131.0,0.01K,-2.16%
2024-06-06,134.35,134.35,134.35,134.35,0.01K,-1.21%
2024-06-05,136.0,136.0,136.0,136.0,0.01K,-1.41%
2024-06-04,137.95,137.95,137.95,137.95,,-1.60%
2024-06-03,140.2,139.0,140.75,138.75,0.14K,-1.54%
2024-05-31,142.4,142.4,142.4,142.4,,0.00%
2024-05-30,142.4,142.4,142.4,142.4,,0.00%
2024-05-29,142.4,142.4,142.4,142.4,,0.00%
