Date,Price,Open,High,Low,Vol.,Change %
2024-09-30,584.00,579.75,590.75,575.50,58.87K,0.69%
2024-09-27,580.00,583.00,583.50,575.50,46.19K,-0.73%
2024-09-26,584.25,590.50,596.25,582.75,69.06K,-0.85%
2024-09-25,589.25,579.00,591.25,573.75,52.96K,1.95%
2024-09-24,578.00,581.25,589.25,575.25,52.27K,-0.77%
2024-09-23,582.50,570.50,586.50,569.00,63.33K,2.46%
2024-09-20,568.50,566.25,575.75,565.25,60.49K,0.53%
2024-09-19,565.50,575.75,577.25,564.00,51.65K,-1.78%
2024-09-18,575.75,576.00,582.75,573.00,47.04K,0.00%
2024-09-17,575.75,578.50,584.25,571.25,45.71K,-0.48%
2024-09-16,578.50,594.75,596.00,574.25,80.58K,1.27%
2024-09-13,571.25,571.25,571.25,571.25,,1.47%
2024-09-12,563.00,563.00,563.00,563.00,0.00K,-0.13%
2024-09-11,563.75,563.75,563.75,563.75,0.01K,0.89%
2024-09-10,558.75,554.75,554.75,554.75,0.01K,0.59%
2024-09-09,555.50,555.50,555.50,555.50,0.00K,0.41%
2024-09-06,553.25,565.75,565.75,552.25,0.43K,-1.38%
2024-09-05,561.00,565.50,565.50,557.00,0.12K,-0.75%
2024-09-04,565.25,551.50,568.75,551.50,0.16K,2.40%
2024-09-03,552.00,531.50,551.75,530.50,0.43K,3.61%
2024-08-30,532.75,522.50,534.75,522.50,0.83K,1.48%
2024-08-29,525.00,513.00,524.00,508.25,12.49K,2.09%
2024-08-28,514.25,507.00,516.00,505.50,19.34K,1.18%
2024-08-27,508.25,497.25,510.75,493.50,31.51K,2.06%
2024-08-26,498.00,505.25,506.00,495.50,39.32K,-0.85%
2024-08-23,502.25,512.00,513.75,501.25,48.97K,-1.71%
2024-08-22,511.00,521.25,524.00,502.50,44.56K,-1.68%
2024-08-21,519.75,533.75,536.50,519.00,35.07K,-2.49%
2024-08-20,533.00,528.00,535.50,525.75,43.75K,0.90%
2024-08-19,528.25,530.50,531.25,521.75,46.03K,-0.33%
2024-08-16,530.00,527.25,533.50,523.25,52.85K,0.33%
2024-08-15,528.25,535.75,547.75,527.00,69.56K,-1.22%
2024-08-14,534.75,529.25,537.25,524.00,84.25K,1.13%
2024-08-13,528.75,538.00,538.25,525.00,67.77K,-1.49%
2024-08-12,536.75,542.75,547.00,528.00,84.75K,-1.06%
2024-08-09,542.50,537.25,552.00,536.25,82.40K,0.93%
2024-08-08,537.50,537.75,544.50,532.50,67.63K,-0.14%
2024-08-07,538.25,544.00,548.75,534.75,79.91K,-0.92%
2024-08-06,543.25,540.00,548.75,531.50,59.18K,0.70%
2024-08-05,539.50,540.25,541.50,519.75,60.22K,0.09%
2024-08-02,539.00,532.00,540.50,528.50,51.48K,1.32%
2024-08-01,532.00,526.75,534.75,519.75,56.99K,0.90%
2024-07-31,527.25,523.00,534.00,515.50,60.81K,0.62%
2024-07-30,524.00,528.75,529.50,517.00,50.33K,-1.32%
2024-07-29,531.00,523.50,532.75,514.25,53.53K,1.43%
2024-07-26,523.50,537.00,541.25,522.00,56.59K,-2.65%
2024-07-25,537.75,546.75,549.75,536.25,44.81K,-1.69%
2024-07-24,547.00,542.50,555.50,537.25,51.66K,0.78%
2024-07-23,542.75,547.75,552.00,540.50,41.16K,-0.96%
2024-07-22,548.00,545.25,553.50,540.25,48.55K,0.97%
2024-07-19,542.75,534.75,556.25,530.50,67.05K,1.40%
2024-07-18,535.25,540.75,546.50,533.00,50.52K,-0.74%
2024-07-17,539.25,530.50,546.50,528.00,52.56K,1.60%
2024-07-16,530.75,531.25,537.50,525.25,63.37K,-0.33%
2024-07-15,532.50,551.00,552.50,531.00,76.57K,-1.02%
2024-07-12,538.00,538.00,538.00,538.00,0.09K,-2.93%
2024-07-11,554.25,543.50,561.25,543.50,0.03K,1.98%
2024-07-10,543.50,542.00,547.25,542.00,0.08K,-1.94%
2024-07-09,554.25,554.25,554.25,554.25,0.05K,0.23%
2024-07-08,553.00,552.25,553.00,552.25,0.07K,-3.36%
2024-07-05,572.25,573.00,573.00,573.00,0.13K,3.20%
2024-07-03,554.50,563.75,563.75,558.50,0.19K,-1.25%
2024-07-02,561.50,562.00,562.00,562.00,0.28K,-1.36%
2024-07-01,569.25,556.50,568.00,552.75,0.34K,2.85%
2024-06-28,553.50,559.25,565.00,547.00,1.45K,-1.12%
2024-06-27,559.75,540.50,562.50,539.50,18.21K,3.42%
2024-06-26,541.25,539.75,552.75,538.00,19.70K,-0.09%
2024-06-25,541.75,552.50,556.00,539.75,29.81K,-1.95%
2024-06-24,552.50,562.00,563.00,546.50,36.64K,-1.60%
2024-06-21,561.50,571.25,579.25,557.75,67.57K,-1.96%
2024-06-20,572.75,582.00,582.75,565.50,66.90K,-1.59%
2024-06-18,582.00,590.00,595.25,580.00,59.96K,-1.61%
2024-06-17,591.50,607.75,610.25,590.25,71.03K,-3.47%
2024-06-14,612.75,618.25,622.50,611.00,73.73K,-1.17%
2024-06-13,620.00,614.50,627.25,612.50,77.15K,0.49%
2024-06-12,617.00,626.00,627.75,610.50,84.29K,-1.52%
2024-06-11,626.50,606.75,633.00,605.50,132.29K,3.13%
2024-06-10,607.50,626.00,627.00,606.25,119.71K,-3.19%
2024-06-07,627.50,639.50,639.50,618.25,131.16K,-1.88%
2024-06-06,639.50,649.75,654.00,638.25,83.05K,-1.12%
2024-06-05,646.75,659.25,664.25,642.75,84.83K,-1.75%
2024-06-04,658.25,672.50,681.25,657.75,82.16K,-2.16%
2024-06-03,672.75,678.00,697.75,667.50,84.11K,-0.85%
2024-05-31,678.50,680.50,691.50,673.75,54.29K,-0.37%
2024-05-30,681.00,692.75,693.75,673.25,68.98K,-1.70%
2024-05-29,692.75,701.50,706.25,688.50,63.29K,-1.07%
2024-05-28,700.25,713.00,720.00,693.75,73.68K,0.43%
2024-05-24,697.25,701.25,706.00,689.00,70.62K,-0.11%
2024-05-23,698.00,694.00,702.50,682.50,68.18K,0.72%
2024-05-22,693.00,697.25,716.75,688.50,89.82K,-0.65%
2024-05-21,697.50,687.50,700.75,682.00,88.26K,1.27%
2024-05-20,688.75,654.00,691.25,654.00,93.31K,5.76%
2024-05-17,651.25,662.50,676.50,650.25,62.41K,-1.81%
2024-05-16,663.25,664.25,681.50,656.75,68.48K,-0.38%
2024-05-15,665.75,674.25,697.00,662.25,89.54K,1.33%
2024-05-14,657.00,657.00,657.00,657.00,0.02K,-1.98%
2024-05-13,670.25,648.00,648.00,645.75,0.03K,3.79%
2024-05-10,645.75,645.25,647.00,645.25,0.06K,4.20%
2024-05-09,619.75,624.25,624.25,624.00,0.13K,0.61%
2024-05-08,616.00,616.00,616.00,616.00,0.02K,-1.40%
2024-05-07,624.75,635.00,635.00,632.75,0.05K,-1.19%
2024-05-06,632.25,627.50,630.00,627.50,0.15K,4.33%
2024-05-03,606.00,603.25,632.50,603.00,0.23K,3.32%
2024-05-02,586.50,592.75,592.75,580.75,0.07K,0.86%
2024-05-01,581.50,580.25,582.25,579.00,0.51K,-0.60%
2024-04-30,585.00,587.00,587.00,577.75,1.41K,-0.89%
2024-04-29,590.25,595.75,604.75,582.75,17.08K,-2.15%
2024-04-26,603.25,602.00,614.50,598.25,28.60K,0.17%
2024-04-25,602.25,594.00,605.00,593.50,25.97K,1.30%
2024-04-24,594.50,583.25,598.50,578.75,27.55K,1.62%
2024-04-23,585.00,572.00,586.00,565.75,42.55K,2.59%
2024-04-22,570.25,549.00,579.50,548.75,50.92K,3.63%
2024-04-19,550.25,536.75,558.75,536.00,29.39K,2.52%
2024-04-18,536.75,538.00,544.00,534.25,35.42K,-0.05%
2024-04-17,537.00,550.50,555.00,536.00,38.90K,-2.32%
2024-04-16,549.75,550.75,557.00,542.50,53.01K,-0.36%
2024-04-15,551.75,555.25,556.00,544.25,46.71K,-0.76%
2024-04-12,556.00,552.50,562.50,549.50,63.72K,0.77%
2024-04-11,551.75,558.00,559.75,548.25,73.57K,-1.21%
2024-04-10,558.50,558.50,567.25,555.75,68.51K,0.13%
2024-04-09,557.75,563.00,564.25,553.50,73.16K,-1.41%
2024-04-08,565.75,570.25,573.75,559.50,90.13K,-0.26%
2024-04-05,567.25,556.00,574.75,555.00,106.58K,1.98%
2024-04-04,556.25,556.00,562.50,549.50,61.30K,0.04%
2024-04-03,556.00,545.00,559.75,540.25,58.69K,1.97%
2024-04-02,545.25,557.50,562.75,543.50,64.53K,-2.11%
2024-04-01,557.00,562.00,562.75,547.25,43.70K,-0.80%
2024-03-29,561.50,561.50,561.50,561.50,,0.22%
2024-03-28,560.25,546.50,568.50,544.50,72.67K,2.33%
2024-03-27,547.50,543.25,549.50,538.50,40.13K,0.74%
2024-03-26,543.50,555.00,557.50,542.75,39.84K,-2.07%
2024-03-25,555.00,559.00,567.00,549.50,63.15K,0.05%
2024-03-22,554.75,548.50,559.25,539.50,58.44K,1.46%
2024-03-21,546.75,546.00,552.50,540.25,43.72K,0.32%
2024-03-20,545.00,551.75,553.00,537.00,52.84K,-1.36%
2024-03-19,552.50,542.75,553.75,539.00,52.07K,1.80%
2024-03-18,542.75,531.25,544.00,527.00,57.98K,2.70%
2024-03-15,528.50,532.00,537.50,526.75,40.45K,1.73%
2024-03-14,519.50,519.50,519.50,519.50,0.02K,-2.40%
2024-03-13,532.25,534.50,535.25,534.00,0.02K,-0.61%
2024-03-12,535.50,541.00,544.75,538.00,0.04K,-0.37%
2024-03-11,537.50,526.75,526.75,526.00,0.03K,2.04%
2024-03-08,526.75,528.50,528.50,528.50,0.02K,1.15%
2024-03-07,520.75,526.50,526.50,523.25,0.25K,-0.10%
2024-03-06,521.25,519.75,519.75,519.75,0.21K,-4.49%
2024-03-05,545.75,554.75,554.75,547.50,0.03K,-3.15%
2024-03-04,563.50,564.00,564.00,564.00,0.11K,0.63%
2024-03-01,560.00,577.75,577.75,558.25,0.55K,-3.03%
2024-02-29,577.50,570.00,582.00,567.00,1.25K,1.14%
2024-02-28,571.00,586.50,588.00,569.75,13.39K,-2.56%
2024-02-27,586.00,576.00,591.75,575.50,15.96K,1.52%
2024-02-26,577.25,573.50,578.75,562.00,23.80K,0.65%
2024-02-23,573.50,584.75,592.50,572.50,30.81K,-1.67%
2024-02-22,583.25,582.00,600.00,579.75,40.23K,0.00%
2024-02-21,583.25,581.75,584.75,574.00,35.04K,0.09%
2024-02-20,582.75,558.50,585.00,555.25,53.10K,3.97%
2024-02-16,560.50,566.00,571.75,556.75,53.03K,-1.15%
2024-02-15,567.00,585.75,585.75,565.25,79.70K,-3.16%
2024-02-14,585.50,597.25,597.75,577.50,84.59K,-2.01%
2024-02-13,597.50,597.00,603.50,592.25,82.48K,0.00%
2024-02-12,597.50,596.25,603.00,588.50,69.03K,0.13%
2024-02-09,596.75,591.25,605.50,588.00,100.82K,1.40%
2024-02-08,588.50,601.25,602.00,583.75,78.67K,-2.24%
2024-02-07,602.00,594.75,606.75,590.75,79.58K,1.18%
2024-02-06,595.00,590.50,597.50,588.00,47.58K,0.80%
2024-02-05,590.25,600.00,601.75,586.75,51.24K,-1.58%
2024-02-02,599.75,601.50,611.50,595.75,66.72K,-0.29%
2024-02-01,601.50,595.25,603.00,587.00,62.58K,1.05%
2024-01-31,595.25,605.00,605.00,591.75,43.15K,-1.69%
2024-01-30,605.50,593.50,606.75,584.50,51.99K,2.02%
2024-01-29,593.50,601.25,601.75,587.50,41.48K,-1.12%
2024-01-26,600.25,612.00,614.00,592.25,69.59K,-1.96%
2024-01-25,612.25,611.50,617.25,606.50,54.71K,0.25%
2024-01-24,610.75,598.00,612.25,596.50,56.70K,2.39%
2024-01-23,596.50,596.00,606.75,593.75,42.18K,0.00%
2024-01-22,596.50,593.50,600.25,587.00,36.37K,0.55%
2024-01-19,593.25,586.25,598.00,584.75,48.39K,1.32%
2024-01-18,585.50,583.50,587.00,573.25,50.95K,0.52%
2024-01-17,582.50,581.50,595.75,577.75,69.55K,0.09%
2024-01-16,582.00,596.00,602.25,576.75,61.37K,-2.35%
2024-01-12,596.00,604.00,611.75,587.25,82.71K,-1.28%
2024-01-11,603.75,610.00,614.75,602.00,38.91K,-1.15%
2024-01-10,610.75,610.25,612.00,603.75,40.39K,0.12%
2024-01-09,610.00,596.00,613.75,594.00,57.13K,2.31%
2024-01-08,596.25,617.00,617.25,593.00,70.38K,-3.21%
2024-01-05,616.00,613.00,621.50,611.50,43.10K,0.41%
2024-01-04,613.50,601.50,614.50,591.25,63.69K,2.21%
2024-01-03,600.25,608.00,609.75,598.25,64.00K,-1.07%
2024-01-02,606.75,628.75,628.75,604.75,61.47K,-3.38%
2023-12-29,628.00,631.00,633.50,621.50,34.75K,-0.55%
2023-12-28,631.50,624.25,636.25,621.75,32.25K,1.36%
2023-12-27,623.00,636.00,637.50,619.25,38.06K,-2.08%
2023-12-26,636.25,615.00,639.75,611.50,40.67K,3.25%
2023-12-22,616.25,612.50,618.25,610.75,26.13K,0.61%
2023-12-21,612.50,611.50,617.25,610.25,33.65K,0.41%
2023-12-20,610.00,622.50,625.25,609.00,39.37K,-2.05%
2023-12-19,622.75,618.25,624.25,611.25,42.92K,0.93%
2023-12-18,617.00,629.75,632.00,614.75,43.59K,-1.95%
2023-12-15,629.25,616.00,630.00,610.75,52.71K,5.93%
2023-12-14,594.00,608.00,619.50,606.50,0.15K,1.50%
2023-12-13,585.25,624.25,626.50,602.50,0.21K,-3.58%
2023-12-12,607.00,609.75,628.75,608.25,0.15K,2.66%
2023-12-11,591.25,632.00,633.25,607.25,0.20K,-3.86%
2023-12-08,615.00,618.75,619.00,618.00,0.02K,-1.76%
2023-12-07,626.00,622.75,622.75,622.75,0.09K,1.66%
2023-12-06,615.75,625.75,634.00,621.75,0.05K,-0.81%
2023-12-05,620.75,601.00,619.25,597.75,0.58K,4.20%
2023-12-04,595.75,583.00,583.00,583.00,0.37K,3.25%
2023-12-01,577.00,569.25,577.50,569.25,0.67K,1.18%
