Date,bawang putih
2022-01-01,0.0
2022-01-02,100.0
2022-01-03,0.0
2022-01-04,0.0
2022-01-05,0.0
2022-01-06,0.0
2022-01-07,0.0
2022-01-08,0.0
2022-01-09,0.0
2022-01-10,0.0
2022-01-11,66.00000000000001
2022-01-12,0.0
2022-01-13,0.0
2022-01-14,0.0
2022-01-15,0.0
2022-01-16,0.0
2022-01-17,85.00000000000001
2022-01-18,0.0
2022-01-19,0.0
2022-01-20,0.0
2022-01-21,0.0
2022-01-22,0.0
2022-01-23,0.0
2022-01-24,0.0
2022-01-25,0.0
2022-01-26,0.0
2022-01-27,0.0
2022-01-28,0.0
2022-01-29,0.0
2022-01-30,0.0
2022-01-31,0.0
2022-02-01,0.0
2022-02-02,0.0
2022-02-03,0.0
2022-02-04,0.0
2022-02-05,0.0
2022-02-06,0.0
2022-02-07,68.0
2022-02-08,0.0
2022-02-09,0.0
2022-02-10,0.0
2022-02-11,55.0
2022-02-12,0.0
2022-02-13,0.0
2022-02-14,40.00000000000001
2022-02-15,0.0
2022-02-16,40.00000000000001
2022-02-17,61.0
2022-02-18,0.0
2022-02-19,53.0
2022-02-20,0.0
2022-02-21,0.0
2022-02-22,0.0
2022-02-23,0.0
2022-02-24,0.0
2022-02-25,0.0
2022-02-26,0.0
2022-02-27,0.0
2022-02-28,0.0
2022-03-01,0.0
2022-03-02,51.0
2022-03-03,0.0
2022-03-04,0.0
2022-03-05,0.0
2022-03-06,0.0
2022-03-07,0.0
2022-03-08,0.0
2022-03-09,0.0
2022-03-10,0.0
2022-03-11,42.0
2022-03-12,0.0
2022-03-13,0.0
2022-03-14,0.0
2022-03-15,36.0
2022-03-16,0.0
2022-03-17,0.0
2022-03-18,0.0
2022-03-19,0.0
2022-03-20,46.99999999999999
2022-03-21,0.0
2022-03-22,55.0
2022-03-23,0.0
2022-03-24,0.0
2022-03-25,0.0
2022-03-26,46.0
2022-03-27,0.0
2022-03-28,41.0
2022-03-29,0.0
2022-03-30,0.0
2022-03-31,0.0
2022-04-01,0.0
2022-04-02,0.0
2022-04-03,0.0
2022-04-04,0.0
2022-04-05,0.0
2022-04-06,0.0
2022-04-07,0.0
2022-04-08,0.0
2022-04-09,0.0
2022-04-10,0.0
2022-04-11,0.0
2022-04-12,0.0
2022-04-13,0.0
2022-04-14,42.0
2022-04-15,0.0
2022-04-16,81.0
2022-04-17,0.0
2022-04-18,0.0
2022-04-19,0.0
2022-04-20,0.0
2022-04-21,0.0
2022-04-22,0.0
2022-04-23,0.0
2022-04-24,51.0
2022-04-25,0.0
2022-04-26,0.0
2022-04-27,64.0
2022-04-28,0.0
2022-04-29,0.0
2022-04-30,0.0
2022-05-01,0.0
2022-05-02,0.0
2022-05-03,0.0
2022-05-04,0.0
2022-05-05,0.0
2022-05-06,0.0
2022-05-07,0.0
2022-05-08,51.0
2022-05-09,0.0
2022-05-10,0.0
2022-05-11,54.00000000000001
2022-05-12,0.0
2022-05-13,0.0
2022-05-14,0.0
2022-05-15,0.0
2022-05-16,0.0
2022-05-17,0.0
2022-05-18,0.0
2022-05-19,0.0
2022-05-20,0.0
2022-05-21,70.0
2022-05-22,0.0
2022-05-23,0.0
2022-05-24,0.0
2022-05-25,0.0
2022-05-26,0.0
2022-05-27,0.0
2022-05-28,57.0
2022-05-29,0.0
2022-05-30,0.0
2022-05-31,0.0
2022-06-01,0.0
2022-06-02,46.0
2022-06-03,48.0
2022-06-04,0.0
2022-06-05,0.0
2022-06-06,43.00000000000001
2022-06-07,0.0
2022-06-08,44.0
2022-06-09,0.0
2022-06-10,0.0
2022-06-11,0.0
2022-06-12,0.0
2022-06-13,0.0
2022-06-14,0.0
2022-06-15,0.0
2022-06-16,0.0
2022-06-17,0.0
2022-06-18,0.0
2022-06-19,0.0
2022-06-20,0.0
2022-06-21,53.0
2022-06-22,0.0
2022-06-23,0.0
2022-06-24,0.0
2022-06-25,0.0
2022-06-26,0.0
2022-06-27,52.00000000000001
2022-06-28,0.0
2022-06-29,0.0
2022-06-30,0.0
2022-07-01,52.00000000000001
2022-07-02,0.0
2022-07-03,0.0
2022-07-04,0.0
2022-07-05,42.16966917785785
2022-07-06,0.0
2022-07-07,0.0
2022-07-08,0.0
2022-07-09,0.0
2022-07-10,0.0
2022-07-11,0.0
2022-07-12,0.0
2022-07-13,0.0
2022-07-14,41.05994104159843
2022-07-15,0.0
2022-07-16,0.0
2022-07-17,40.50507697346872
2022-07-18,0.0
2022-07-19,0.0
2022-07-20,0.0
2022-07-21,0.0
2022-07-22,0.0
2022-07-23,0.0
2022-07-24,0.0
2022-07-25,0.0
2022-07-26,0.0
2022-07-27,0.0
2022-07-28,38.8404847690796
2022-07-29,0.0
2022-07-30,0.0
2022-07-31,0.0
2022-08-01,0.0
2022-08-02,0.0
2022-08-03,0.0
2022-08-04,0.0
2022-08-05,0.0
2022-08-06,46.053717654765805
2022-08-07,0.0
2022-08-08,0.0
2022-08-09,33.84670815591222
2022-08-10,38.285620700949885
2022-08-11,39.395348837209305
2022-08-12,0.0
2022-08-13,0.0
2022-08-14,0.0
2022-08-15,0.0
2022-08-16,0.0
2022-08-17,0.0
2022-08-18,0.0
2022-08-19,0.0
2022-08-20,0.0
2022-08-21,0.0
2022-08-22,0.0
2022-08-23,42.72453324598755
2022-08-24,0.0
2022-08-25,0.0
2022-08-26,0.0
2022-08-27,0.0
2022-08-28,51.60235833606289
2022-08-29,31.627251883393384
2022-08-30,38.285620700949885
2022-08-31,0.0
2022-09-01,0.0
2022-09-02,0.0
2022-09-03,0.0
2022-09-04,0.0
2022-09-05,0.0
2022-09-06,43.27939731411726
2022-09-07,0.0
2022-09-08,0.0
2022-09-09,0.0
2022-09-10,35.51130036030134
2022-09-11,0.0
2022-09-12,0.0
2022-09-13,0.0
2022-09-14,0.0
2022-09-15,0.0
2022-09-16,0.0
2022-09-17,0.0
2022-09-18,0.0
2022-09-19,31.072387815263674
2022-09-20,0.0
2022-09-21,42.16966917785785
2022-09-22,43.83426138224697
2022-09-23,0.0
2022-09-24,0.0
2022-09-25,0.0
2022-09-26,0.0
2022-09-27,0.0
2022-09-28,0.0
2022-09-29,0.0
2022-09-30,0.0
2022-10-01,0.0
2022-10-02,0.0
2022-10-03,0.0
2022-10-04,42.72453324598755
2022-10-05,0.0
2022-10-06,55.48640681297084
2022-10-07,41.05994104159843
2022-10-08,0.0
2022-10-09,35.51130036030134
2022-10-10,0.0
2022-10-11,0.0
2022-10-12,33.291844087782515
2022-10-13,0.0
2022-10-14,0.0
2022-10-15,0.0
2022-10-16,38.285620700949885
2022-10-17,0.0
2022-10-18,0.0
2022-10-19,0.0
2022-10-20,36.62102849656076
2022-10-21,0.0
2022-10-22,0.0
2022-10-23,0.0
2022-10-24,41.61480510972814
2022-10-25,32.182115951523095
2022-10-26,0.0
2022-10-27,0.0
2022-10-28,0.0
2022-10-29,0.0
2022-10-30,0.0
2022-10-31,0.0
2022-11-01,0.0
2022-11-02,40.50507697346872
2022-11-03,29.96265967900426
2022-11-04,0.0
