Date,beras
2022-01-01,0.0
2022-01-02,0.0
2022-01-03,43.0
2022-01-04,36.0
2022-01-05,36.0
2022-01-06,38.0
2022-01-07,46.0
2022-01-08,33.0
2022-01-09,52.0
2022-01-10,25.0
2022-01-11,43.0
2022-01-12,26.0
2022-01-13,66.0
2022-01-14,64.0
2022-01-15,31.0
2022-01-16,56.0
2022-01-17,33.0
2022-01-18,49.00000000000001
2022-01-19,44.0
2022-01-20,58.0
2022-01-21,27.0
2022-01-22,42.00000000000001
2022-01-23,61.00000000000001
2022-01-24,70.0
2022-01-25,64.0
2022-01-26,51.0
2022-01-27,27.0
2022-01-28,59.99999999999999
2022-01-29,35.0
2022-01-30,49.00000000000001
2022-01-31,35.0
2022-02-01,45.0
2022-02-02,46.0
2022-02-03,72.0
2022-02-04,51.0
2022-02-05,52.0
2022-02-06,59.99999999999999
2022-02-07,51.0
2022-02-08,53.99999999999999
2022-02-09,61.00000000000001
2022-02-10,68.0
2022-02-11,49.00000000000001
2022-02-12,46.99999999999999
2022-02-13,25.0
2022-02-14,65.0
2022-02-15,81.99999999999999
2022-02-16,64.0
2022-02-17,76.0
2022-02-18,80.0
2022-02-19,38.0
2022-02-20,0.0
2022-02-21,93.0
2022-02-22,58.0
2022-02-23,55.00000000000001
2022-02-24,62.0
2022-02-25,51.0
2022-02-26,53.99999999999999
2022-02-27,44.0
2022-02-28,38.0
2022-03-01,57.0
2022-03-02,0.0
2022-03-03,0.0
2022-03-04,45.0
2022-03-05,35.0
2022-03-06,59.0
2022-03-07,66.0
2022-03-08,66.0
2022-03-09,28.0
2022-03-10,36.0
2022-03-11,51.0
2022-03-12,58.0
2022-03-13,58.0
2022-03-14,77.0
2022-03-15,83.0
2022-03-16,66.0
2022-03-17,100.0
2022-03-18,73.0
2022-03-19,68.0
2022-03-20,38.0
2022-03-21,59.99999999999999
2022-03-22,52.0
2022-03-23,64.0
2022-03-24,25.0
2022-03-25,48.00000000000001
2022-03-26,28.0
2022-03-27,45.0
2022-03-28,46.0
2022-03-29,53.0
2022-03-30,30.0
2022-03-31,55.00000000000001
2022-04-01,46.0
2022-04-02,44.0
2022-04-03,62.0
2022-04-04,42.00000000000001
2022-04-05,40.0
2022-04-06,43.0
2022-04-07,57.0
2022-04-08,31.0
2022-04-09,35.0
2022-04-10,43.0
2022-04-11,53.99999999999999
2022-04-12,52.0
2022-04-13,58.0
2022-04-14,36.0
2022-04-15,35.0
2022-04-16,37.0
2022-04-17,42.00000000000001
2022-04-18,46.99999999999999
2022-04-19,48.00000000000001
2022-04-20,42.00000000000001
2022-04-21,46.0
2022-04-22,44.0
2022-04-23,24.000000000000004
2022-04-24,58.0
2022-04-25,31.0
2022-04-26,49.00000000000001
2022-04-27,53.0
2022-04-28,43.0
2022-04-29,50.0
2022-04-30,46.99999999999999
2022-05-01,37.0
2022-05-02,34.0
2022-05-03,38.0
2022-05-04,33.0
2022-05-05,48.00000000000001
2022-05-06,45.0
2022-05-07,59.0
2022-05-08,40.0
2022-05-09,40.0
2022-05-10,48.00000000000001
2022-05-11,46.99999999999999
2022-05-12,37.0
2022-05-13,44.0
2022-05-14,40.99999999999999
2022-05-15,49.00000000000001
2022-05-16,33.0
2022-05-17,45.0
2022-05-18,49.00000000000001
2022-05-19,56.0
2022-05-20,64.0
2022-05-21,39.0
2022-05-22,44.0
2022-05-23,37.0
2022-05-24,36.0
2022-05-25,0.0
2022-05-26,38.0
2022-05-27,36.0
2022-05-28,40.0
2022-05-29,29.0
2022-05-30,29.0
2022-05-31,38.0
2022-06-01,0.0
2022-06-02,23.0
2022-06-03,28.0
2022-06-04,24.000000000000004
2022-06-05,27.0
2022-06-06,29.0
2022-06-07,33.0
2022-06-08,0.0
2022-06-09,29.0
2022-06-10,27.0
2022-06-11,0.0
2022-06-12,25.0
2022-06-13,27.0
2022-06-14,30.0
2022-06-15,21.000000000000004
2022-06-16,28.0
2022-06-17,29.0
2022-06-18,0.0
2022-06-19,0.0
2022-06-20,32.0
2022-06-21,32.0
2022-06-22,40.99999999999999
2022-06-23,23.0
2022-06-24,35.0
2022-06-25,29.0
2022-06-26,28.0
2022-06-27,23.0
2022-06-28,29.0
2022-06-29,22.0
2022-06-30,31.0
2022-07-01,26.0
2022-07-02,33.0
2022-07-03,36.35852675693101
2022-07-04,0.0
2022-07-05,27.91815447407204
2022-07-06,22.074819816708118
2022-07-07,0.0
2022-07-08,61.0303841991342
2022-07-09,35.70926735055725
2022-07-10,0.0
2022-07-11,0.0
2022-07-12,35.060007944183475
2022-07-13,32.462970318688406
2022-07-14,20.77630100396058
2022-07-15,25.970376254950725
2022-07-16,25.970376254950725
2022-07-17,30.5151920995671
2022-07-18,21.425560410334345
2022-07-19,19.47778219121304
2022-07-20,49.34371488440637
2022-07-21,35.70926735055725
2022-07-22,29.86593269319333
2022-07-23,42.201861414294925
2022-07-24,35.70926735055725
2022-07-25,21.425560410334345
2022-07-26,31.16445150594087
2022-07-27,32.462970318688406
2022-07-28,26.61963566132449
2022-07-29,27.26889506769826
2022-07-30,0.0
2022-07-31,35.70926735055725
2022-08-01,0.0
2022-08-02,44.14963963341623
2022-08-03,45.448158446163774
2022-08-04,35.060007944183475
2022-08-05,35.060007944183475
2022-08-06,37.657045569678544
2022-08-07,27.91815447407204
2022-08-08,51.291493103527685
2022-08-09,36.35852675693101
2022-08-10,34.41074853780971
2022-08-11,32.462970318688406
2022-08-12,29.86593269319333
2022-08-13,0.0
2022-08-14,29.86593269319333
2022-08-15,44.79889903979
2022-08-16,49.34371488440637
2022-08-17,31.16445150594087
2022-08-18,31.16445150594087
2022-08-19,0.0
2022-08-20,0.0
2022-08-21,37.657045569678544
2022-08-22,44.79889903979
2022-08-23,38.95556438242608
2022-08-24,49.34371488440637
2022-08-25,38.95556438242608
2022-08-26,33.76148913143594
2022-08-27,0.0
2022-08-28,37.657045569678544
2022-08-29,48.04519607165884
2022-08-30,39.604823788799855
2022-08-31,37.00778616330479
2022-09-01,39.604823788799855
2022-09-02,25.32111684857696
2022-09-03,36.35852675693101
2022-09-04,29.86593269319333
2022-09-05,34.41074853780971
2022-09-06,35.060007944183475
2022-09-07,45.448158446163774
2022-09-08,53.23927132264899
2022-09-09,49.99297429078014
2022-09-10,32.462970318688406
2022-09-11,41.55260200792116
2022-09-12,33.11222972506217
2022-09-13,37.657045569678544
2022-09-14,59.08260598001291
2022-09-15,37.657045569678544
2022-09-16,42.201861414294925
2022-09-17,32.462970318688406
2022-09-18,41.55260200792116
2022-09-19,31.81371091231464
2022-09-20,29.86593269319333
2022-09-21,45.448158446163774
2022-09-22,55.18704954177029
2022-09-23,40.90334260154739
2022-09-24,38.95556438242608
2022-09-25,37.00778616330479
2022-09-26,40.25408319517362
2022-09-27,38.95556438242608
2022-09-28,36.35852675693101
2022-09-29,40.25408319517362
2022-09-30,44.79889903979
2022-10-01,25.32111684857696
2022-10-02,35.70926735055725
2022-10-03,37.657045569678544
2022-10-04,33.76148913143594
2022-10-05,46.09741785253754
2022-10-06,42.85112082066869
2022-10-07,57.1348277608916
2022-10-08,45.448158446163774
2022-10-09,35.060007944183475
2022-10-10,30.5151920995671
2022-10-11,44.79889903979
2022-10-12,27.91815447407204
2022-10-13,44.79889903979
2022-10-14,51.94075250990145
2022-10-15,41.55260200792116
2022-10-16,33.11222972506217
2022-10-17,33.76148913143594
2022-10-18,45.448158446163774
2022-10-19,44.79889903979
2022-10-20,45.448158446163774
2022-10-21,31.81371091231464
2022-10-22,37.00778616330479
2022-10-23,40.90334260154739
2022-10-24,46.7466772589113
2022-10-25,27.91815447407204
2022-10-26,44.14963963341623
2022-10-27,42.201861414294925
2022-10-28,38.30630497605232
2022-10-29,28.5674138804458
2022-10-30,33.76148913143594
2022-10-31,58.43334657363913
2022-11-01,35.060007944183475
2022-11-02,33.76148913143594
2022-11-03,35.060007944183475
2022-11-04,33.76148913143594
2022-11-05,24.022598035829414
2022-11-06,45.448158446163774
2022-11-07,42.201861414294925
2022-11-08,19.47778219121304
2022-11-09,37.657045569678544
2022-11-10,30.5151920995671
2022-11-11,38.30630497605232
2022-11-12,35.70926735055725
2022-11-13,0.0
2022-11-14,55.18704954177029
2022-11-15,45.448158446163774
2022-11-16,51.94075250990145
2022-11-17,45.448158446163774
2022-11-18,57.78408716726536
2022-11-19,24.022598035829414
2022-11-20,37.00778616330479
2022-11-21,41.55260200792116
2022-11-22,45.448158446163774
2022-11-23,51.291493103527685
2022-11-24,35.70926735055725
2022-11-25,56.485568354517824
2022-11-26,64.92594063737681
2022-11-27,27.91815447407204
2022-11-28,26.61963566132449
2022-11-29,46.09741785253754
2022-11-30,33.76148913143594
2022-12-01,42.201861414294925
2022-12-02,35.060007944183475
2022-12-03,37.657045569678544
2022-12-04,28.5674138804458
2022-12-05,49.99297429078014
2022-12-06,34.41074853780971
2022-12-07,41.55260200792116
2022-12-08,41.55260200792116
2022-12-09,31.81371091231464
2022-12-10,29.86593269319333
2022-12-11,23.37333862945565
2022-12-12,27.26889506769826
2022-12-13,37.00778616330479
2022-12-14,24.671857442203187
2022-12-15,29.216673286819564
2022-12-16,27.26889506769826
2022-12-17,34.41074853780971
2022-12-18,21.425560410334345
2022-12-19,0.0
2022-12-20,26.61963566132449
2022-12-21,22.074819816708118
2022-12-22,33.76148913143594
2022-12-23,23.37333862945565
2022-12-24,35.70926735055725
2022-12-25,25.970376254950725
2022-12-26,33.76148913143594
2022-12-27,0.0
2022-12-28,40.90334260154739
2022-12-29,20.77630100396058
2022-12-30,20.12704159758681
2022-12-31,23.37333862945565
2023-01-01,0.0
2023-01-02,24.479628462428817
2023-01-03,0.0
2023-01-04,0.0
2023-01-05,24.479628462428817
2023-01-06,29.725263132949284
2023-01-07,30.308111429673783
2023-01-08,42.54792566088818
2023-01-09,0.0
2023-01-10,26.811021649326804
2023-01-11,35.553746100194246
2023-01-12,44.87931884778617
2023-01-13,40.216532473990206
2023-01-14,23.31393186897983
2023-01-15,29.725263132949284
2023-01-16,34.388049506745254
2023-01-17,24.479628462428817
2023-01-18,23.31393186897983
2023-01-19,27.9767182427758
2023-01-20,29.725263132949284
2023-01-21,30.89095972639828
2023-01-22,32.63950461657176
2023-01-23,35.553746100194246
2023-01-24,32.056656319847264
2023-01-25,55.3705881888271
2023-01-26,33.222352913296255
2023-01-27,29.725263132949284
2023-01-28,41.382229067439205
2023-01-29,27.3938699460513
2023-01-30,37.88513928709222
2023-01-31,56.53628478227609
2023-02-01,40.216532473990206
2023-02-02,39.633684177265714
2023-02-03,0.0
2023-02-04,39.633684177265714
2023-02-05,41.382229067439205
2023-02-06,34.388049506745254
2023-02-07,48.37640862813315
2023-02-08,37.88513928709222
2023-02-09,52.45634670520462
2023-02-10,25.06247675915332
2023-02-11,44.87931884778617
2023-02-12,34.97089780346975
2023-02-13,37.88513928709222
2023-02-14,43.13077395761268
2023-02-15,43.13077395761268
2023-02-16,34.388049506745254
2023-02-17,46.62786373795966
2023-02-18,36.13659439691874
2023-02-19,29.725263132949284
2023-02-20,25.64532505587781
2023-02-21,34.97089780346975
2023-02-22,54.7877398921026
2023-02-23,33.222352913296255
2023-02-24,30.308111429673783
2023-02-25,40.79938077071471
2023-02-26,46.04501544123516
2023-02-27,44.87931884778617
2023-02-28,37.88513928709222
2023-03-01,50.70780181503115
2023-03-02,38.46798758381672
2023-03-03,26.811021649326804
2023-03-04,40.79938077071471
2023-03-05,28.55956653950029
2023-03-06,29.142414836224795
2023-03-07,47.21071203468416
2023-03-08,54.7877398921026
2023-03-09,54.7877398921026
2023-03-10,43.71362225433718
2023-03-11,30.89095972639828
2023-03-12,39.633684177265714
2023-03-13,37.88513928709222
2023-03-14,39.633684177265714
2023-03-15,32.056656319847264
2023-03-16,23.896780165704328
2023-03-17,32.056656319847264
2023-03-18,54.7877398921026
2023-03-19,34.388049506745254
2023-03-20,32.63950461657176
2023-03-21,0.0
2023-03-22,46.62786373795966
2023-03-23,22.14823527553084
2023-03-24,37.88513928709222
2023-03-25,47.21071203468416
2023-03-26,36.71944269364323
2023-03-27,30.308111429673783
2023-03-28,30.89095972639828
2023-03-29,26.811021649326804
2023-03-30,55.3705881888271
2023-03-31,43.13077395761268
2023-04-01,26.22817335260231
2023-04-02,31.47380802312277
2023-04-03,50.12495351830664
2023-04-04,39.05083588054122
2023-04-05,47.793560331408656
2023-04-06,51.290650111755625
2023-04-07,25.06247675915332
2023-04-08,20.982538682081845
2023-04-09,33.222352913296255
2023-04-10,40.79938077071471
2023-04-11,31.47380802312277
2023-04-12,51.87349840848013
2023-04-13,46.04501544123516
2023-04-14,31.47380802312277
2023-04-15,0.0
2023-04-16,26.22817335260231
2023-04-17,36.71944269364323
2023-04-18,40.79938077071471
2023-04-19,58.28482967244959
2023-04-20,55.9534364855516
2023-04-21,35.553746100194246
2023-04-22,23.31393186897983
2023-04-23,32.63950461657176
2023-04-24,43.13077395761268
2023-04-25,39.05083588054122
2023-04-26,41.382229067439205
2023-04-27,30.89095972639828
2023-04-28,38.46798758381672
2023-04-29,31.47380802312277
2023-04-30,22.731083572255333
2023-05-01,35.553746100194246
2023-05-02,39.05083588054122
2023-05-03,27.9767182427758
2023-05-04,36.13659439691874
2023-05-05,48.37640862813315
2023-05-06,33.222352913296255
2023-05-07,30.308111429673783
2023-05-08,32.63950461657176
2023-05-09,40.79938077071471
2023-05-10,23.31393186897983
2023-05-11,26.811021649326804
2023-05-12,39.633684177265714
2023-05-13,28.55956653950029
2023-05-14,30.308111429673783
2023-05-15,32.056656319847264
2023-05-16,39.633684177265714
2023-05-17,27.9767182427758
2023-05-18,26.22817335260231
2023-05-19,21.56538697880634
2023-05-20,49.54210522158215
2023-05-21,40.79938077071471
2023-05-22,46.04501544123516
2023-05-23,45.462167144510666
2023-05-24,25.06247675915332
2023-05-25,34.97089780346975
2023-05-26,42.54792566088818
2023-05-27,40.216532473990206
2023-05-28,44.29647055106168
2023-05-29,42.54792566088818
2023-05-30,34.388049506745254
2023-05-31,32.056656319847264
2023-06-01,19.816842088632857
2023-06-02,44.29647055106168
2023-06-03,37.30229099036773
2023-06-04,23.31393186897983
2023-06-05,46.62786373795966
2023-06-06,29.725263132949284
2023-06-07,25.06247675915332
2023-06-08,0.0
2023-06-09,23.31393186897983
2023-06-10,30.89095972639828
2023-06-11,22.14823527553084
2023-06-12,32.056656319847264
2023-06-13,35.553746100194246
2023-06-14,16.902600605010377
2023-06-15,25.64532505587781
2023-06-16,27.3938699460513
2023-06-17,32.63950461657176
2023-06-18,39.05083588054122
2023-06-19,30.89095972639828
2023-06-20,33.222352913296255
2023-06-21,37.30229099036773
2023-06-22,21.56538697880634
2023-06-23,37.88513928709222
2023-06-24,34.97089780346975
2023-06-25,43.13077395761268
2023-06-26,34.388049506745254
2023-06-27,36.71944269364323
2023-06-28,30.308111429673783
2023-06-29,37.88513928709222
2023-06-30,21.56538697880634
2023-07-01,32.056656319847264
2023-07-02,23.896780165704328
2023-07-03,29.142414836224795
2023-07-04,35.73880762411347
2023-07-05,16.990580673758863
2023-07-06,30.46586879432624
2023-07-07,26.36469414893617
2023-07-08,29.29410460992908
2023-07-09,21.09175531914893
2023-07-10,0.0
2023-07-11,26.36469414893617
2023-07-12,0.0
2023-07-13,23.43528368794326
2023-07-14,24.607047872340427
2023-07-15,39.83998226950354
2023-07-16,23.43528368794326
2023-07-17,19.91999113475177
2023-07-18,0.0
2023-07-19,0.0
2023-07-20,34.56704343971631
2023-07-21,32.223515070921984
2023-07-22,29.29410460992908
2023-07-23,33.395279255319146
2023-07-24,35.15292553191489
2023-07-25,26.95057624113475
2023-07-26,32.223515070921984
2023-07-27,19.33410904255319
2023-07-28,25.192929964539005
2023-07-29,0.0
2023-07-30,26.36469414893617
2023-07-31,23.43528368794326
2023-08-01,0.0
2023-08-02,22.263519503546096
2023-08-03,33.98116134751773
2023-08-04,0.0
2023-08-05,25.192929964539005
2023-08-06,24.021165780141843
2023-08-07,36.32468971631205
2023-08-08,35.73880762411347
2023-08-09,27.53645833333333
2023-08-10,21.677637411347515
2023-08-11,28.12234042553191
2023-08-12,24.021165780141843
2023-08-13,32.809397163120565
2023-08-14,32.809397163120565
2023-08-15,39.25410017730496
2023-08-16,19.33410904255319
2023-08-17,35.15292553191489
2023-08-18,36.32468971631205
2023-08-19,24.607047872340427
2023-08-20,29.29410460992908
2023-08-21,57.416445035461
2023-08-22,39.25410017730496
2023-08-23,46.28468528368794
2023-08-24,40.425864361702125
2023-08-25,25.192929964539005
2023-08-26,38.66821808510638
2023-08-27,33.395279255319146
2023-08-28,41.59762854609929
2023-08-29,40.425864361702125
2023-08-30,31.051750886524825
2023-08-31,28.708222517730498
2023-09-01,29.879986702127656
2023-09-02,38.0823359929078
2023-09-03,25.778812056737586
2023-09-04,46.28468528368794
2023-09-05,46.87056737588652
2023-09-06,36.32468971631205
2023-09-07,43.94115691489361
2023-09-08,37.49645390070922
2023-09-09,35.15292553191489
2023-09-10,49.21409574468085
2023-09-11,45.11292109929077
2023-09-12,38.66821808510638
2023-09-13,42.18351063829787
2023-09-14,52.72938829787234
2023-09-15,28.708222517730498
2023-09-16,22.84940159574468
2023-09-17,43.35527482269503
2023-09-18,58.58820921985816
2023-09-19,51.55762411347517
2023-09-20,49.79997783687944
2023-09-21,36.32468971631205
2023-09-22,45.11292109929077
2023-09-23,36.91057180851063
2023-09-24,31.051750886524825
2023-09-25,36.32468971631205
2023-09-26,48.042331560283685
2023-09-27,29.29410460992908
2023-09-28,35.15292553191489
2023-09-29,40.425864361702125
2023-09-30,43.94115691489361
2023-10-01,23.43528368794326
2023-10-02,35.15292553191489
2023-10-03,36.32468971631205
2023-10-04,41.59762854609929
