Date,daging ayam
2022-01-01,30.0
2022-01-02,22.0
2022-01-03,29.0
2022-01-04,31.000000000000004
2022-01-05,33.0
2022-01-06,29.0
2022-01-07,27.0
2022-01-08,27.0
2022-01-09,34.0
2022-01-10,39.0
2022-01-11,31.000000000000004
2022-01-12,37.0
2022-01-13,37.0
2022-01-14,29.0
2022-01-15,31.000000000000004
2022-01-16,31.000000000000004
2022-01-17,39.0
2022-01-18,37.0
2022-01-19,34.0
2022-01-20,36.0
2022-01-21,28.0
2022-01-22,28.0
2022-01-23,34.0
2022-01-24,42.0
2022-01-25,38.00000000000001
2022-01-26,31.000000000000004
2022-01-27,33.0
2022-01-28,35.0
2022-01-29,28.0
2022-01-30,36.0
2022-01-31,33.0
2022-02-01,37.0
2022-02-02,33.0
2022-02-03,36.0
2022-02-04,33.0
2022-02-05,33.0
2022-02-06,32.0
2022-02-07,40.0
2022-02-08,42.0
2022-02-09,46.0
2022-02-10,39.0
2022-02-11,41.0
2022-02-12,30.0
2022-02-13,31.000000000000004
2022-02-14,53.0
2022-02-15,54.0
2022-02-16,39.0
2022-02-17,47.0
2022-02-18,49.0
2022-02-19,32.0
2022-02-20,41.0
2022-02-21,52.00000000000001
2022-02-22,45.00000000000001
2022-02-23,43.99999999999999
2022-02-24,43.99999999999999
2022-02-25,50.0
2022-02-26,43.99999999999999
2022-02-27,40.0
2022-02-28,39.0
2022-03-01,46.0
2022-03-02,46.0
2022-03-03,38.00000000000001
2022-03-04,46.0
2022-03-05,43.99999999999999
2022-03-06,37.0
2022-03-07,56.0
2022-03-08,55.0
2022-03-09,54.0
2022-03-10,52.00000000000001
2022-03-11,52.00000000000001
2022-03-12,47.0
2022-03-13,37.0
2022-03-14,54.0
2022-03-15,41.0
2022-03-16,50.0
2022-03-17,64.0
2022-03-18,55.0
2022-03-19,53.0
2022-03-20,27.0
2022-03-21,48.0
2022-03-22,41.0
2022-03-23,45.00000000000001
2022-03-24,39.0
2022-03-25,42.0
2022-03-26,41.0
2022-03-27,39.0
2022-03-28,52.00000000000001
2022-03-29,45.00000000000001
2022-03-30,56.0
2022-03-31,52.00000000000001
2022-04-01,54.0
2022-04-02,55.0
2022-04-03,43.99999999999999
2022-04-04,43.99999999999999
2022-04-05,46.0
2022-04-06,43.0
2022-04-07,43.0
2022-04-08,41.0
2022-04-09,38.00000000000001
2022-04-10,38.00000000000001
2022-04-11,41.0
2022-04-12,41.0
2022-04-13,40.0
2022-04-14,41.0
2022-04-15,35.0
2022-04-16,43.0
2022-04-17,37.0
2022-04-18,53.0
2022-04-19,41.0
2022-04-20,40.0
2022-04-21,43.0
2022-04-22,49.0
2022-04-23,41.0
2022-04-24,38.00000000000001
2022-04-25,39.0
2022-04-26,39.0
2022-04-27,40.0
2022-04-28,39.0
2022-04-29,56.0
2022-04-30,86.0
2022-05-01,100.0
2022-05-02,28.0
2022-05-03,26.000000000000004
2022-05-04,23.0
2022-05-05,26.000000000000004
2022-05-06,24.0
2022-05-07,26.000000000000004
2022-05-08,29.0
2022-05-09,28.0
2022-05-10,30.0
2022-05-11,35.0
2022-05-12,34.0
2022-05-13,30.0
2022-05-14,28.0
2022-05-15,26.000000000000004
2022-05-16,27.0
2022-05-17,31.000000000000004
2022-05-18,36.0
2022-05-19,34.0
2022-05-20,30.0
2022-05-21,35.0
2022-05-22,31.000000000000004
2022-05-23,34.0
2022-05-24,36.0
2022-05-25,32.0
2022-05-26,36.0
2022-05-27,30.0
2022-05-28,29.0
2022-05-29,30.0
2022-05-30,35.0
2022-05-31,32.0
2022-06-01,35.0
2022-06-02,33.0
2022-06-03,36.0
2022-06-04,28.0
2022-06-05,27.0
2022-06-06,36.0
2022-06-07,33.0
2022-06-08,34.0
2022-06-09,32.0
2022-06-10,29.0
2022-06-11,25.0
2022-06-12,28.0
2022-06-13,30.0
2022-06-14,23.0
2022-06-15,29.0
2022-06-16,25.0
2022-06-17,28.0
2022-06-18,22.0
2022-06-19,25.0
2022-06-20,25.0
2022-06-21,22.0
2022-06-22,27.0
2022-06-23,19.000000000000004
2022-06-24,27.0
2022-06-25,24.0
2022-06-26,25.0
2022-06-27,22.0
2022-06-28,24.0
2022-06-29,24.0
2022-06-30,23.0
2022-07-01,27.0
2022-07-02,26.000000000000004
2022-07-03,22.05942740049996
2022-07-04,26.195570038093692
2022-07-05,25.50621293182808
2022-07-06,22.05942740049996
2022-07-07,25.50621293182808
2022-07-08,34.467855313281184
2022-07-09,57.9059969263124
2022-07-10,68.93571062656237
2022-07-11,50.32306875739052
2022-07-12,34.467855313281184
2022-07-13,38.60399795087493
2022-07-14,29.642355569421824
2022-07-15,29.642355569421824
2022-07-16,33.77849820701556
2022-07-17,26.884927144359327
2022-07-18,27.574284250624945
2022-07-19,31.71042688821869
2022-07-20,31.021069781953067
2022-07-21,33.77849820701556
2022-07-22,34.467855313281184
2022-07-23,25.50621293182808
2022-07-24,34.467855313281184
2022-07-25,28.263641356890574
2022-07-26,34.467855313281184
2022-07-27,32.39978399448432
2022-07-28,35.15721241954681
2022-07-29,27.574284250624945
2022-07-30,28.263641356890574
2022-07-31,31.021069781953067
2022-08-01,31.71042688821869
2022-08-02,33.77849820701556
2022-08-03,35.846569525812434
2022-08-04,31.021069781953067
2022-08-05,28.9529984631562
2022-08-06,26.195570038093692
2022-08-07,31.021069781953067
2022-08-08,32.39978399448432
2022-08-09,31.71042688821869
2022-08-10,31.71042688821869
2022-08-11,33.77849820701556
2022-08-12,30.33171267568744
2022-08-13,29.642355569421824
2022-08-14,28.9529984631562
2022-08-15,28.9529984631562
2022-08-16,25.50621293182808
2022-08-17,26.884927144359327
2022-08-18,34.467855313281184
2022-08-19,29.642355569421824
2022-08-20,26.884927144359327
2022-08-21,33.08914110074994
2022-08-22,31.71042688821869
2022-08-23,33.77849820701556
2022-08-24,29.642355569421824
2022-08-25,37.22528373834368
2022-08-26,31.021069781953067
2022-08-27,24.816855825562453
2022-08-28,28.263641356890574
2022-08-29,32.39978399448432
2022-08-30,41.36142637593742
2022-08-31,39.29335505714056
2022-09-01,34.467855313281184
2022-09-02,28.263641356890574
2022-09-03,32.39978399448432
2022-09-04,31.021069781953067
2022-09-05,35.15721241954681
2022-09-06,32.39978399448432
2022-09-07,35.15721241954681
2022-09-08,35.846569525812434
2022-09-09,34.467855313281184
2022-09-10,31.71042688821869
2022-09-11,35.15721241954681
2022-09-12,37.22528373834368
2022-09-13,35.846569525812434
2022-09-14,31.71042688821869
2022-09-15,31.71042688821869
2022-09-16,31.021069781953067
2022-09-17,35.15721241954681
2022-09-18,32.39978399448432
2022-09-19,39.98271216340617
2022-09-20,38.60399795087493
2022-09-21,37.22528373834368
2022-09-22,40.6720692696718
2022-09-23,37.22528373834368
2022-09-24,27.574284250624945
2022-09-25,30.33171267568744
2022-09-26,36.53592663207805
2022-09-27,38.60399795087493
2022-09-28,38.60399795087493
2022-09-29,39.29335505714056
2022-09-30,33.08914110074994
2022-10-01,31.71042688821869
2022-10-02,33.77849820701556
2022-10-03,37.22528373834368
2022-10-04,37.22528373834368
2022-10-05,41.36142637593742
2022-10-06,33.77849820701556
2022-10-07,29.642355569421824
2022-10-08,31.021069781953067
2022-10-09,36.53592663207805
2022-10-10,33.08914110074994
2022-10-11,38.60399795087493
2022-10-12,44.80821190726554
2022-10-13,40.6720692696718
2022-10-14,37.91464084460931
2022-10-15,35.15721241954681
2022-10-16,35.846569525812434
2022-10-17,43.429497694734295
2022-10-18,44.11885480099991
2022-10-19,53.080497182453016
2022-10-20,37.22528373834368
2022-10-21,35.15721241954681
2022-10-22,26.195570038093692
2022-10-23,46.18692611979679
2022-10-24,53.769854288718655
2022-10-25,35.846569525812434
2022-10-26,42.74014058846867
2022-10-27,44.11885480099991
2022-10-28,39.29335505714056
2022-10-29,33.08914110074994
2022-10-30,39.29335505714056
2022-10-31,44.11885480099991
2022-11-01,48.94435454485928
2022-11-02,53.080497182453016
2022-11-03,48.25499743859366
2022-11-04,39.98271216340617
2022-11-05,27.574284250624945
2022-11-06,34.467855313281184
2022-11-07,53.080497182453016
2022-11-08,51.01242586365616
2022-11-09,42.74014058846867
2022-11-10,46.87628322606241
2022-11-11,40.6720692696718
2022-11-12,28.9529984631562
2022-11-13,39.98271216340617
2022-11-14,50.32306875739052
2022-11-15,54.45921139498428
2022-11-16,48.25499743859366
2022-11-17,53.769854288718655
2022-11-18,46.18692611979679
2022-11-19,36.53592663207805
2022-11-20,38.60399795087493
2022-11-21,42.05078348220305
2022-11-22,48.94435454485928
2022-11-23,46.87628322606241
2022-11-24,42.74014058846867
2022-11-25,32.39978399448432
2022-11-26,33.77849820701556
2022-11-27,33.77849820701556
2022-11-28,49.633711651124905
2022-11-29,57.9059969263124
2022-11-30,52.39114007618739
2022-12-01,54.45921139498428
2022-12-02,52.39114007618739
2022-12-03,33.08914110074994
2022-12-04,36.53592663207805
2022-12-05,43.429497694734295
2022-12-06,53.769854288718655
2022-12-07,59.97406824510925
2022-12-08,56.52728271378115
2022-12-09,48.94435454485928
2022-12-10,37.22528373834368
2022-12-11,29.642355569421824
2022-12-12,37.22528373834368
2022-12-13,33.77849820701556
2022-12-14,28.9529984631562
2022-12-15,31.021069781953067
2022-12-16,28.263641356890574
2022-12-17,29.642355569421824
2022-12-18,27.574284250624945
2022-12-19,31.71042688821869
2022-12-20,31.021069781953067
2022-12-21,23.43814161303121
2022-12-22,26.884927144359327
2022-12-23,28.263641356890574
2022-12-24,27.574284250624945
2022-12-25,28.9529984631562
2022-12-26,26.884927144359327
2022-12-27,26.195570038093692
2022-12-28,27.574284250624945
2022-12-29,28.9529984631562
2022-12-30,37.22528373834368
2022-12-31,42.05078348220305
2023-01-01,35.15721241954681
2023-01-02,24.833242485138715
2023-01-03,29.114836017059197
2023-01-04,29.971154723443284
2023-01-05,25.689561191522813
2023-01-06,28.25851731067509
2023-01-07,23.12060507237053
2023-01-08,25.689561191522813
2023-01-09,30.82747342982737
2023-01-10,29.971154723443284
2023-01-11,33.396429548979654
2023-01-12,33.396429548979654
2023-01-13,28.25851731067509
2023-01-14,28.25851731067509
