Date,minyak goreng
2022-01-01,4.0
2022-01-02,3.0
2022-01-03,3.0
2022-01-04,0.0
2022-01-05,3.0
2022-01-06,4.0
2022-01-07,4.0
2022-01-08,5.0
2022-01-09,4.0
2022-01-10,3.0
2022-01-11,4.0
2022-01-12,4.0
2022-01-13,0.0
2022-01-14,0.0
2022-01-15,5.0
2022-01-16,4.0
2022-01-17,4.0
2022-01-18,5.0
2022-01-19,54.0
2022-01-20,19.0
2022-01-21,10.0
2022-01-22,6.0
2022-01-23,6.0
2022-01-24,6.0
2022-01-25,5.0
2022-01-26,6.0
2022-01-27,8.0
2022-01-28,9.0
2022-01-29,9.0
2022-01-30,10.0
2022-01-31,8.0
2022-02-01,7.0
2022-02-02,7.0
2022-02-03,8.0
2022-02-04,9.0
2022-02-05,7.0
2022-02-06,9.0
2022-02-07,6.0
2022-02-08,7.0
2022-02-09,8.0
2022-02-10,8.0
2022-02-11,6.0
2022-02-12,7.0
2022-02-13,5.0
2022-02-14,7.0
2022-02-15,9.0
2022-02-16,9.0
2022-02-17,9.0
2022-02-18,9.0
2022-02-19,14.0
2022-02-20,12.0
2022-02-21,12.0
2022-02-22,13.0
2022-02-23,13.0
2022-02-24,11.0
2022-02-25,12.0
2022-02-26,8.0
2022-02-27,8.0
2022-02-28,9.0
2022-03-01,8.0
2022-03-02,7.0
2022-03-03,10.0
2022-03-04,9.0
2022-03-05,11.0
2022-03-06,11.0
2022-03-07,12.0
2022-03-08,11.0
2022-03-09,14.0
2022-03-10,15.0
2022-03-11,20.0
2022-03-12,17.0
2022-03-13,14.0
2022-03-14,14.0
2022-03-15,13.0
2022-03-16,100.0
2022-03-17,53.0
2022-03-18,36.0
2022-03-19,27.0
2022-03-20,21.0
2022-03-21,19.0
2022-03-22,19.0
2022-03-23,19.0
2022-03-24,15.0
2022-03-25,11.0
2022-03-26,13.0
2022-03-27,11.0
2022-03-28,13.0
2022-03-29,12.0
2022-03-30,8.0
2022-03-31,10.0
2022-04-01,10.0
2022-04-02,10.0
2022-04-03,11.0
2022-04-04,10.0
2022-04-05,8.0
2022-04-06,9.0
2022-04-07,9.0
2022-04-08,8.0
2022-04-09,6.0
2022-04-10,7.0
2022-04-11,8.0
2022-04-12,7.0
2022-04-13,7.0
2022-04-14,7.0
2022-04-15,7.0
2022-04-16,8.0
2022-04-17,4.0
2022-04-18,7.0
2022-04-19,13.0
2022-04-20,17.0
2022-04-21,14.0
2022-04-22,12.0
2022-04-23,10.0
2022-04-24,6.0
2022-04-25,7.0
2022-04-26,7.0
2022-04-27,6.0
2022-04-28,11.0
2022-04-29,6.0
2022-04-30,4.0
2022-05-01,3.0
2022-05-02,0.0
2022-05-03,3.0
2022-05-04,2.0
2022-05-05,0.0
2022-05-06,2.0
2022-05-07,2.0
2022-05-08,3.0
2022-05-09,3.0
2022-05-10,3.0
2022-05-11,4.0
2022-05-12,4.0
2022-05-13,4.0
2022-05-14,3.0
2022-05-15,2.0
2022-05-16,4.0
2022-05-17,3.0
2022-05-18,5.0
2022-05-19,6.0
2022-05-20,6.0
2022-05-21,4.0
2022-05-22,5.0
2022-05-23,3.0
2022-05-24,5.0
2022-05-25,5.0
2022-05-26,3.0
2022-05-27,5.0
2022-05-28,3.0
2022-05-29,3.0
2022-05-30,4.0
2022-05-31,5.0
2022-06-01,4.0
2022-06-02,3.0
2022-06-03,3.0
2022-06-04,3.0
2022-06-05,2.0
2022-06-06,4.0
2022-06-07,3.0
2022-06-08,3.0
2022-06-09,2.0
2022-06-10,2.0
2022-06-11,2.0
2022-06-12,3.0
2022-06-13,2.0
2022-06-14,3.0
2022-06-15,3.0
2022-06-16,3.0
2022-06-17,3.0
2022-06-18,3.0
2022-06-19,3.0
2022-06-20,3.0
2022-06-21,3.0
2022-06-22,4.0
2022-06-23,3.0
2022-06-24,3.0
2022-06-25,4.0
2022-06-26,4.0
