Date,minyak goreng
2022-01-01,3.0
2022-01-02,3.0
2022-01-03,3.0
2022-01-04,4.0
2022-01-05,4.0
2022-01-06,5.0
2022-01-07,4.0
2022-01-08,4.0
2022-01-09,4.0
2022-01-10,4.0
2022-01-11,4.0
2022-01-12,4.0
2022-01-13,4.0
2022-01-14,2.0
2022-01-15,3.0
2022-01-16,3.0
2022-01-17,4.0
2022-01-18,4.0
2022-01-19,50.0
2022-01-20,23.000000000000004
2022-01-21,12.0
2022-01-22,8.0
2022-01-23,6.0
2022-01-24,7.0
2022-01-25,6.0
2022-01-26,7.0
2022-01-27,7.0
2022-01-28,8.0
2022-01-29,7.0
2022-01-30,8.0
2022-01-31,10.0
2022-02-01,9.0
2022-02-02,8.0
2022-02-03,8.0
2022-02-04,8.0
2022-02-05,8.0
2022-02-06,7.0
2022-02-07,8.0
2022-02-08,7.0
2022-02-09,8.0
2022-02-10,7.0
2022-02-11,7.0
2022-02-12,7.0
2022-02-13,7.0
2022-02-14,8.0
2022-02-15,10.0
2022-02-16,10.0
2022-02-17,12.0
2022-02-18,12.0
2022-02-19,15.0
2022-02-20,15.0
2022-02-21,14.0
2022-02-22,13.0
2022-02-23,12.0
2022-02-24,10.0
2022-02-25,9.0
2022-02-26,10.0
2022-02-27,7.0
2022-02-28,8.0
2022-03-01,9.0
2022-03-02,10.0
2022-03-03,11.000000000000002
2022-03-04,11.000000000000002
2022-03-05,10.0
2022-03-06,9.0
2022-03-07,12.0
2022-03-08,12.0
2022-03-09,13.0
2022-03-10,13.0
2022-03-11,19.0
2022-03-12,16.999999999999996
2022-03-13,13.0
2022-03-14,14.0
2022-03-15,14.0
2022-03-16,100.0
2022-03-17,51.0
2022-03-18,33.99999999999999
2022-03-19,26.0
2022-03-20,20.0
2022-03-21,19.0
2022-03-22,20.0
2022-03-23,16.999999999999996
2022-03-24,15.0
2022-03-25,12.0
2022-03-26,12.0
2022-03-27,11.000000000000002
2022-03-28,12.0
2022-03-29,13.0
2022-03-30,13.0
2022-03-31,10.0
2022-04-01,8.0
2022-04-02,11.000000000000002
2022-04-03,11.000000000000002
2022-04-04,11.000000000000002
2022-04-05,10.0
2022-04-06,10.0
2022-04-07,10.0
2022-04-08,11.000000000000002
2022-04-09,10.0
2022-04-10,9.0
2022-04-11,10.0
2022-04-12,9.0
2022-04-13,9.0
2022-04-14,10.0
2022-04-15,10.0
2022-04-16,8.0
2022-04-17,8.0
2022-04-18,9.0
2022-04-19,15.0
2022-04-20,16.999999999999996
2022-04-21,12.0
2022-04-22,13.0
2022-04-23,9.0
2022-04-24,7.0
2022-04-25,6.0
2022-04-26,6.0
2022-04-27,7.0
2022-04-28,9.0
2022-04-29,6.0
2022-04-30,4.0
2022-05-01,3.0
2022-05-02,2.0
2022-05-03,2.0
2022-05-04,3.0
2022-05-05,2.0
2022-05-06,3.0
2022-05-07,2.0
2022-05-08,3.0
2022-05-09,3.0
2022-05-10,4.0
2022-05-11,4.0
2022-05-12,6.0
2022-05-13,5.0
2022-05-14,4.0
2022-05-15,4.0
2022-05-16,4.0
2022-05-17,5.0
2022-05-18,6.0
2022-05-19,6.0
2022-05-20,6.0
2022-05-21,5.0
2022-05-22,5.0
2022-05-23,5.0
2022-05-24,5.0
2022-05-25,5.0
2022-05-26,5.0
2022-05-27,5.0
2022-05-28,3.0
2022-05-29,4.0
2022-05-30,5.0
2022-05-31,5.0
2022-06-01,5.0
2022-06-02,4.0
2022-06-03,3.0
2022-06-04,4.0
2022-06-05,3.0
2022-06-06,5.0
2022-06-07,3.0
2022-06-08,3.0
2022-06-09,3.0
2022-06-10,4.0
2022-06-11,3.0
2022-06-12,3.0
2022-06-13,2.0
2022-06-14,4.0
2022-06-15,4.0
2022-06-16,3.0
2022-06-17,3.0
2022-06-18,3.0
2022-06-19,2.0
2022-06-20,3.0
2022-06-21,3.0
2022-06-22,4.0
2022-06-23,3.0
2022-06-24,3.0
2022-06-25,3.0
2022-06-26,4.0
2022-06-27,4.0
2022-06-28,4.0
2022-06-29,4.0
2022-06-30,4.0
2022-07-01,3.0
2022-07-02,3.0
2022-07-03,2.7031648143128217
2022-07-04,2.525908105177555
2022-07-05,2.836107346164272
2022-07-06,3.2349349417186226
2022-07-07,3.5008200054215237
2022-07-08,2.7031648143128217
2022-07-09,2.791793168880456
2022-07-10,2.0384521550555705
2022-07-11,3.3678774735700734
2022-07-12,3.41219165085389
2022-07-13,3.0133640552995398
2022-07-14,3.54513418270534
2022-07-15,3.2792491190024395
2022-07-16,3.1463065871509897
2022-07-17,2.836107346164272
2022-07-18,3.6337625372729736
2022-07-19,3.1463065871509897
2022-07-20,3.722390891840607
2022-07-21,3.81101924640824
2022-07-22,3.54513418270534
2022-07-23,2.924735700731905
2022-07-24,2.924735700731905
2022-07-25,3.8996476009758743
2022-07-26,3.855333423692058
2022-07-27,3.2792491190024395
2022-07-28,3.5894483599891567
2022-07-29,4.431417728381676
2022-07-30,2.1713946869070204
2022-07-31,2.3929655733261046
2022-08-01,2.614536459745188
2022-08-02,3.5894483599891567
2022-08-03,3.3678774735700734
2022-08-04,3.3235632962862565
2022-08-05,3.1463065871509897
2022-08-06,3.057678232583356
2022-08-07,2.8804215234480885
2022-08-08,2.7474789915966387
2022-08-09,3.1019924098671727
2022-08-10,3.4565058281377063
2022-08-11,3.3678774735700734
2022-08-12,3.41219165085389
2022-08-13,2.525908105177555
2022-08-14,2.3929655733261046
2022-08-15,2.3929655733261046
2022-08-16,2.6588506370290053
2022-08-17,2.348651396042288
2022-08-18,2.8804215234480885
2022-08-19,2.3929655733261046
2022-08-20,2.0384521550555705
2022-08-21,3.2349349417186226
2022-08-22,3.1463065871509897
2022-08-23,3.41219165085389
2022-08-24,3.2349349417186226
2022-08-25,3.4565058281377063
2022-08-26,3.1463065871509897
2022-08-27,2.6588506370290053
2022-08-28,2.348651396042288
2022-08-29,3.4565058281377063
2022-08-30,3.3235632962862565
2022-08-31,3.41219165085389
2022-09-01,2.969049878015722
2022-09-02,3.2792491190024395
2022-09-03,2.924735700731905
2022-09-04,2.7474789915966387
2022-09-05,3.2349349417186226
2022-09-06,3.3235632962862565
2022-09-07,3.766705069124424
2022-09-08,3.54513418270534
2022-09-09,2.3929655733261046
2022-09-10,2.0384521550555705
2022-09-11,2.3929655733261046
2022-09-12,3.2792491190024395
2022-09-13,3.3235632962862565
2022-09-14,2.8804215234480885
2022-09-15,2.348651396042288
2022-09-16,2.215708864190838
2022-09-17,2.0827663323393875
2022-09-18,2.614536459745188
2022-09-19,2.348651396042288
2022-09-20,2.4815939278937384
2022-09-21,3.057678232583356
2022-09-22,3.057678232583356
2022-09-23,2.348651396042288
2022-09-24,2.348651396042288
2022-09-25,2.0384521550555705
2022-09-26,3.1463065871509897
2022-09-27,2.6588506370290053
2022-09-28,2.5702222824613714
2022-09-29,2.924735700731905
2022-09-30,2.348651396042288
2022-10-01,1.7282529140688532
2022-10-02,1.77256709135267
2022-10-03,1.77256709135267
2022-10-04,2.6588506370290053
2022-10-05,2.304337218758471
2022-10-06,2.215708864190838
2022-10-07,2.4815939278937384
2022-10-08,2.215708864190838
2022-10-09,1.595310382217403
2022-10-10,2.3929655733261046
2022-10-11,3.2349349417186226
2022-10-12,2.437279750609921
2022-10-13,2.969049878015722
2022-10-14,2.6588506370290053
2022-10-15,1.9941379777717536
2022-10-16,2.7031648143128217
2022-10-17,1.9941379777717536
2022-10-18,2.969049878015722
2022-10-19,2.0827663323393875
2022-10-20,2.836107346164272
2022-10-21,2.0827663323393875
2022-10-22,2.2600230414746543
2022-10-23,1.6839387367850367
2022-10-24,2.2600230414746543
2022-10-25,2.3929655733261046
2022-10-26,2.215708864190838
2022-10-27,2.6588506370290053
2022-10-28,3.0133640552995398
2022-10-29,2.1270805096232044
2022-10-30,2.1270805096232044
2022-10-31,2.304337218758471
2022-11-01,2.6588506370290053
2022-11-02,2.4815939278937384
2022-11-03,2.0827663323393875
2022-11-04,1.8168812686364868
2022-11-05,1.4623678503659527
2022-11-06,1.8611954459203035
2022-11-07,2.791793168880456
2022-11-08,1.9498238004879371
2022-11-09,2.215708864190838
2022-11-10,1.9498238004879371
2022-11-11,2.437279750609921
2022-11-12,1.8168812686364868
2022-11-13,2.0827663323393875
2022-11-14,2.7031648143128217
2022-11-15,2.348651396042288
2022-11-16,2.791793168880456
2022-11-17,2.304337218758471
2022-11-18,2.2600230414746543
2022-11-19,1.4180536730821358
2022-11-20,1.5509962049335864
2022-11-21,2.0384521550555705
2022-11-22,2.7474789915966387
2022-11-23,2.8804215234480885
2022-11-24,1.90550962320412
2022-11-25,1.6396245595012198
2022-11-26,1.9941379777717536
2022-11-27,1.8168812686364868
2022-11-28,2.304337218758471
2022-11-29,2.525908105177555
2022-11-30,2.348651396042288
2022-12-01,2.0384521550555705
2022-12-02,2.215708864190838
2022-12-03,2.1713946869070204
2022-12-04,2.437279750609921
2022-12-05,3.190620764434806
2022-12-06,2.7474789915966387
2022-12-07,2.304337218758471
2022-12-08,2.7031648143128217
2022-12-09,3.057678232583356
2022-12-10,1.8611954459203035
2022-12-11,1.90550962320412
2022-12-12,1.90550962320412
2022-12-13,1.6839387367850367
2022-12-14,1.8611954459203035
2022-12-15,2.1270805096232044
2022-12-16,1.9498238004879371
2022-12-17,1.9941379777717536
2022-12-18,1.2407969639468692
2022-12-19,2.2600230414746543
2022-12-20,2.0384521550555705
2022-12-21,1.373739495798319
2022-12-22,2.1713946869070204
2022-12-23,1.8168812686364868
2022-12-24,1.8611954459203035
2022-12-25,1.2407969639468692
2022-12-26,1.2851111412306857
2022-12-27,1.8611954459203035
2022-12-28,1.6839387367850367
2022-12-29,1.90550962320412
2022-12-30,2.437279750609921
2022-12-31,1.6839387367850367
2023-01-01,1.5509962049335864
2023-01-02,1.9158130601792576
2023-01-03,1.4857325772818732
2023-01-04,2.033107737333089
2023-01-05,2.2676970916407537
2023-01-06,1.8767148344613127
2023-01-07,1.6421254801536491
2023-01-08,1.8767148344613127
2023-01-09,2.033107737333089
2023-01-10,2.072205963051034
2023-01-11,2.1895006402048653
2023-01-12,2.3849917687945856
2023-01-13,1.8767148344613127
2023-01-14,2.033107737333089
2023-01-15,2.3849917687945856
2023-01-16,2.9323669288458016
2023-01-17,2.9714651545637465
2023-01-18,2.150402414486922
2023-01-19,2.502286445948418
2023-01-20,2.1895006402048653
2023-01-21,2.2285988659228098
2023-01-22,1.7985183830254252
2023-01-23,2.150402414486922
2023-01-24,2.580482897384306
2023-01-25,2.3849917687945856
2023-01-26,2.775974025974026
2023-01-27,2.541384671666361
2023-01-28,2.541384671666361
2023-01-29,3.127858057435523
2023-01-30,3.245152734589355
2023-01-31,3.245152734589355
2023-02-01,3.909822571794402
2023-02-02,3.245152734589355
2023-02-03,2.9714651545637465
2023-02-04,2.3458935430766417
2023-02-05,2.502286445948418
2023-02-06,3.7143314432046814
2023-02-07,3.4015456374611306
2023-02-08,3.4406438631790746
2023-02-09,3.3233491860252427
2023-02-10,2.8932687031278577
2023-02-11,2.150402414486922
2023-02-12,2.854170477409914
2023-02-13,3.5188403146149625
2023-02-14,2.072205963051034
2023-02-15,3.557938540332906
2023-02-16,3.2060545088714103
2023-02-17,2.2676970916407537
2023-02-18,2.3067953173586977
2023-02-19,2.502286445948418
2023-02-20,3.636134991768795
2023-02-21,2.61958112310225
2023-02-22,3.127858057435523
2023-02-23,2.541384671666361
2023-02-24,3.245152734589355
2023-02-25,2.61958112310225
2023-02-26,2.7368758002560813
2023-02-27,3.2842509603072982
2023-02-28,2.7368758002560813
2023-03-01,2.9714651545637465
2023-03-02,3.636134991768795
2023-03-03,2.9714651545637465
2023-03-04,2.3067953173586977
2023-03-05,2.775974025974026
2023-03-06,2.81507225169197
2023-03-07,2.42408999451253
2023-03-08,2.81507225169197
2023-03-09,3.2842509603072982
2023-03-10,3.2842509603072982
2023-03-11,2.1113041887689774
2023-03-12,1.9940095116151453
2023-03-13,2.580482897384306
2023-03-14,2.2285988659228098
2023-03-15,2.2285988659228098
2023-03-16,2.61958112310225
2023-03-17,3.088759831717578
2023-03-18,1.8376166087433692
2023-03-19,2.81507225169197
2023-03-20,2.1895006402048653
2023-03-21,2.4631882202304736
2023-03-22,1.6030272544357052
2023-03-23,2.3067953173586977
2023-03-24,1.4466343515639288
2023-03-25,2.7368758002560813
2023-03-26,2.3458935430766417
2023-03-27,2.61958112310225
2023-03-28,2.3458935430766417
2023-03-29,2.3458935430766417
2023-03-30,1.5639290287177614
2023-03-31,2.580482897384306
2023-04-01,1.5639290287177614
2023-04-02,1.7985183830254252
2023-04-03,2.9714651545637465
2023-04-04,2.7368758002560813
2023-04-05,2.150402414486922
2023-04-06,2.1113041887689774
2023-04-07,2.033107737333089
2023-04-08,1.954911285897201
2023-04-09,1.4857325772818732
2023-04-10,2.502286445948418
2023-04-11,2.3067953173586977
2023-04-12,2.2285988659228098
2023-04-13,1.5248308029998174
2023-04-14,2.3067953173586977
2023-04-15,1.5639290287177614
2023-04-16,1.9158130601792576
2023-04-17,1.9158130601792576
2023-04-18,1.251143222974209
2023-04-19,2.072205963051034
2023-04-20,1.1729467715383208
2023-04-21,0.8992591915127126
2023-04-22,0.7037680629229925
2023-04-23,0.7428662886409366
2023-04-24,0.7037680629229925
2023-04-25,1.368437900128041
2023-04-26,0.8992591915127126
2023-04-27,1.212044997256265
2023-04-28,1.251143222974209
2023-04-29,1.407536125845985
2023-04-30,1.4466343515639288
2023-05-01,1.5248308029998174
2023-05-02,1.954911285897201
2023-05-03,1.954911285897201
2023-05-04,2.3067953173586977
2023-05-05,1.6421254801536491
2023-05-06,1.4857325772818732
2023-05-07,2.3458935430766417
2023-05-08,2.3849917687945856
2023-05-09,2.3067953173586977
2023-05-10,2.697777574538138
2023-05-11,2.1113041887689774
2023-05-12,2.1113041887689774
2023-05-13,0.9383574172306566
2023-05-14,1.9158130601792576
2023-05-15,2.3849917687945856
2023-05-16,2.2285988659228098
2023-05-17,2.3067953173586977
2023-05-18,1.954911285897201
2023-05-19,1.5639290287177614
2023-05-20,1.329339674410097
2023-05-21,1.8767148344613127
2023-05-22,2.3849917687945856
2023-05-23,2.42408999451253
2023-05-24,2.3458935430766417
2023-05-25,1.8767148344613127
2023-05-26,1.7985183830254252
2023-05-27,1.407536125845985
2023-05-28,1.4857325772818732
2023-05-29,2.033107737333089
2023-05-30,1.4466343515639288
2023-05-31,1.7985183830254252
2023-06-01,1.5639290287177614
2023-06-02,2.61958112310225
2023-06-03,1.681223705871593
2023-06-04,1.7203219315895373
2023-06-05,1.954911285897201
2023-06-06,1.7594201573074812
2023-06-07,3.049661605999635
2023-06-08,2.3067953173586977
2023-06-09,1.8376166087433692
2023-06-10,1.6421254801536491
2023-06-11,2.1113041887689774
2023-06-12,2.1895006402048653
2023-06-13,1.094750320102433
2023-06-14,1.7594201573074812
2023-06-15,1.8767148344613127
2023-06-16,1.5639290287177614
2023-06-17,1.0165538686665443
2023-06-18,1.7594201573074812
2023-06-19,1.4466343515639288
2023-06-20,1.7594201573074812
2023-06-21,1.681223705871593
2023-06-22,1.8767148344613127
2023-06-23,1.681223705871593
2023-06-24,1.681223705871593
2023-06-25,1.329339674410097
2023-06-26,1.4857325772818732
2023-06-27,1.407536125845985
2023-06-28,1.6030272544357052
2023-06-29,1.1338485458203769
2023-06-30,0.8601609657947686
2023-07-01,1.290241448692153
2023-07-02,1.212044997256265
2023-07-03,1.4466343515639288
2023-07-04,1.5983606557377052
2023-07-05,2.055035128805621
2023-07-06,1.9571763131482105
2023-07-07,1.3700234192037473
2023-07-08,1.7288390766142523
2023-07-09,1.7940782870525265
2023-07-10,1.6635998661759783
2023-07-11,1.5983606557377052
2023-07-12,1.630980260956842
2023-07-13,1.8593174974908
2023-07-14,1.2395449983271998
2023-07-15,2.055035128805621
2023-07-16,1.630980260956842
2023-07-17,2.2507527601204416
2023-07-18,1.7940782870525265
2023-07-19,2.381231180996989
2023-07-20,1.8919371027099363
2023-07-21,1.9571763131482105
2023-07-22,1.8919371027099363
2023-07-23,1.5983606557377052
2023-07-24,2.055035128805621
2023-07-25,1.5331214452994315
2023-07-26,2.446470391435263
2023-07-27,1.7614586818333893
2023-07-28,1.630980260956842
2023-07-29,1.7614586818333893
2023-07-30,1.4678822348611575
2023-07-31,1.5983606557377052
2023-08-01,1.9571763131482105
2023-08-02,2.1528939444630315
2023-08-03,2.4790899966544
2023-08-04,2.185513549682168
2023-08-05,1.7614586818333893
2023-08-06,1.696219471395115
2023-08-07,2.055035128805621
2023-08-08,1.9571763131482105
2023-08-09,1.989795918367347
2023-08-10,2.055035128805621
2023-08-11,1.7940782870525265
2023-08-12,1.8919371027099363
2023-08-13,2.544329207092673
2023-08-14,2.446470391435263
2023-08-15,1.7614586818333893
2023-08-16,1.7288390766142523
2023-08-17,1.7940782870525265
2023-08-18,2.3159919705587155
2023-08-19,1.3374038139846105
2023-08-20,2.1202743392438945
2023-08-21,2.2507527601204416
2023-08-22,2.3159919705587155
2023-08-23,2.5117096018735365
2023-08-24,2.087654734024757
2023-08-25,1.6635998661759783
2023-08-26,1.9245567079290733
2023-08-27,2.4790899966544
2023-08-28,2.544329207092673
2023-08-29,2.348611575777852
2023-08-30,2.674807627969221
2023-08-31,2.7400468384074945
2023-09-01,2.185513549682168
2023-09-02,1.7940782870525265
2023-09-03,2.4790899966544
2023-09-04,2.642188022750083
2023-09-05,2.57694881231181
2023-09-06,2.1202743392438945
2023-09-07,1.9245567079290733
2023-09-08,2.2833723653395785
2023-09-09,1.4678822348611575
2023-09-10,2.707427233188357
2023-09-11,3.1967213114754105
2023-09-12,2.2833723653395785
2023-09-13,2.7400468384074945
