Date,minyak goreng
2022-01-01,3.0
2022-01-02,4.0
2022-01-03,3.0
2022-01-04,4.0
2022-01-05,5.0
2022-01-06,5.0
2022-01-07,4.0
2022-01-08,6.0
2022-01-09,5.0
2022-01-10,4.0
2022-01-11,5.0
2022-01-12,5.0
2022-01-13,4.0
2022-01-14,5.0
2022-01-15,4.0
2022-01-16,5.0
2022-01-17,5.0
2022-01-18,5.0
2022-01-19,46.0
2022-01-20,30.0
2022-01-21,14.0
2022-01-22,12.0
2022-01-23,10.0
2022-01-24,10.0
2022-01-25,11.0
2022-01-26,9.0
2022-01-27,9.0
2022-01-28,14.0
2022-01-29,14.0
2022-01-30,12.0
2022-01-31,13.0
2022-02-01,17.0
2022-02-02,12.0
2022-02-03,10.0
2022-02-04,9.0
2022-02-05,10.0
2022-02-06,9.0
2022-02-07,9.0
2022-02-08,10.0
2022-02-09,9.0
2022-02-10,9.0
2022-02-11,10.0
2022-02-12,7.0
2022-02-13,8.0
2022-02-14,13.0
2022-02-15,13.0
2022-02-16,14.0
2022-02-17,14.0
2022-02-18,18.0
2022-02-19,17.0
2022-02-20,18.0
2022-02-21,21.0
2022-02-22,17.0
2022-02-23,17.0
2022-02-24,15.0
2022-02-25,13.0
2022-02-26,14.0
2022-02-27,11.0
2022-02-28,13.0
2022-03-01,13.0
2022-03-02,12.0
2022-03-03,12.0
2022-03-04,14.0
2022-03-05,14.0
2022-03-06,15.0
2022-03-07,15.0
2022-03-08,17.0
2022-03-09,13.0
2022-03-10,17.0
2022-03-11,18.0
2022-03-12,20.0
2022-03-13,15.0
2022-03-14,17.0
2022-03-15,18.0
2022-03-16,100.0
2022-03-17,58.0
2022-03-18,38.0
2022-03-19,35.0
2022-03-20,23.0
2022-03-21,26.0
2022-03-22,24.0
2022-03-23,21.0
2022-03-24,19.0
2022-03-25,16.0
2022-03-26,14.0
2022-03-27,16.0
2022-03-28,12.0
2022-03-29,15.0
2022-03-30,14.0
2022-03-31,14.0
2022-04-01,13.0
2022-04-02,16.0
2022-04-03,18.0
2022-04-04,17.0
2022-04-05,17.0
2022-04-06,15.0
2022-04-07,16.0
2022-04-08,13.0
2022-04-09,13.0
2022-04-10,12.0
2022-04-11,15.0
2022-04-12,14.0
2022-04-13,16.0
2022-04-14,15.0
2022-04-15,16.0
2022-04-16,11.0
2022-04-17,10.0
2022-04-18,10.0
2022-04-19,19.0
2022-04-20,24.0
2022-04-21,19.0
2022-04-22,18.0
2022-04-23,12.0
2022-04-24,10.0
2022-04-25,9.0
2022-04-26,9.0
2022-04-27,11.0
2022-04-28,10.0
2022-04-29,9.0
2022-04-30,7.0
2022-05-01,4.0
2022-05-02,2.0
2022-05-03,2.0
2022-05-04,3.0
2022-05-05,3.0
2022-05-06,3.0
2022-05-07,3.0
2022-05-08,4.0
2022-05-09,5.0
2022-05-10,7.0
2022-05-11,6.0
2022-05-12,7.0
2022-05-13,6.0
2022-05-14,5.0
2022-05-15,4.0
2022-05-16,4.0
2022-05-17,6.0
2022-05-18,7.0
2022-05-19,6.0
2022-05-20,5.0
2022-05-21,7.0
2022-05-22,5.0
2022-05-23,7.0
2022-05-24,6.0
2022-05-25,6.0
2022-05-26,5.0
2022-05-27,6.0
2022-05-28,5.0
2022-05-29,3.0
2022-05-30,6.0
2022-05-31,5.0
2022-06-01,4.0
2022-06-02,4.0
2022-06-03,5.0
2022-06-04,5.0
2022-06-05,5.0
2022-06-06,5.0
2022-06-07,4.0
2022-06-08,5.0
2022-06-09,4.0
2022-06-10,4.0
2022-06-11,3.0
2022-06-12,4.0
2022-06-13,4.0
2022-06-14,5.0
2022-06-15,5.0
2022-06-16,4.0
2022-06-17,3.0
2022-06-18,3.0
2022-06-19,2.0
2022-06-20,6.0
2022-06-21,4.0
2022-06-22,5.0
2022-06-23,4.0
2022-06-24,5.0
2022-06-25,5.0
2022-06-26,5.0
2022-06-27,7.0
2022-06-28,6.0
2022-06-29,6.0
2022-06-30,5.0
2022-07-01,4.0
2022-07-02,4.0
2022-07-03,3.437955224166928
2022-07-04,4.222050275292719
2022-07-05,4.583940298889237
2022-07-06,3.799845247763447
2022-07-07,3.799845247763447
2022-07-08,3.498270228099681
2022-07-09,3.1363802045031623
2022-07-10,2.7141751769738907
2022-07-11,3.5585852320324345
2022-07-12,3.437955224166928
2022-07-13,4.764885310687497
2022-07-14,3.67921523989794
2022-07-15,4.161735271359965
2022-07-16,3.67921523989794
2022-07-17,2.2919701494446185
2022-07-18,4.222050275292719
2022-07-19,4.82520031462025
2022-07-20,4.402995287090977
2022-07-21,4.282365279225472
2022-07-22,3.739530243830693
2022-07-23,3.618900235965188
2022-07-24,4.041105263494459
2022-07-25,3.618900235965188
2022-07-26,6.031500393275312
2022-07-27,4.463310291023731
2022-07-28,3.618900235965188
2022-07-29,4.222050275292719
2022-07-30,2.6538601730411373
2022-07-31,2.774490180906644
2022-08-01,3.980790259561706
2022-08-02,4.282365279225472
2022-08-03,4.161735271359965
2022-08-04,4.041105263494459
2022-08-05,2.955435192704903
2022-08-06,2.89512018877215
2022-08-07,2.774490180906644
2022-08-08,5.006145326418508
2022-08-09,4.041105263494459
2022-08-10,4.402995287090977
2022-08-11,3.498270228099681
2022-08-12,3.1363802045031623
2022-08-13,2.593545169108384
2022-08-14,4.041105263494459
2022-08-15,4.041105263494459
2022-08-16,3.498270228099681
2022-08-17,2.6538601730411373
2022-08-18,4.402995287090977
2022-08-19,3.980790259561706
2022-08-20,3.799845247763447
2022-08-21,2.3522851533773714
2022-08-22,4.222050275292719
2022-08-23,3.498270228099681
2022-08-24,3.67921523989794
2022-08-25,4.222050275292719
2022-08-26,4.583940298889237
2022-08-27,2.533230165175631
2022-08-28,3.1363802045031623
2022-08-29,4.885515318553003
2022-08-30,5.006145326418508
2022-08-31,5.669610369678793
2022-09-01,5.006145326418508
2022-09-02,4.3426802831582245
2022-09-03,4.101420267427212
2022-09-04,4.3426802831582245
2022-09-05,5.247405342149522
2022-09-06,5.126775334284015
2022-09-07,4.644255302821991
2022-09-08,4.041105263494459
2022-09-09,3.8601602516962
2022-09-10,3.980790259561706
2022-09-11,2.3522851533773714
