Date,Aceh,Bali,Banten,Bengkulu,DI Yogyakarta,DKI Jakarta,Gorontalo,Jambi,Jawa Barat,Jawa Tengah,Jawa Timur,Kalimantan Barat,Kalimantan Selatan,Kalimantan Tengah,Kalimantan Timur,Kalimantan Utara,Kepulauan Bangka Belitung,Kepulauan Riau,Lampung,Maluku Utara,Maluku,Nusa Tenggara Barat,Nusa Tenggara Timur,Papua Barat,Papua,Riau,Sulawesi Barat,Sulawesi Selatan,Sulawesi Tengah,Sulawesi Tenggara,Sulawesi Utara,Sumatera Barat,Sumatera Selatan,Sumatera Utara
2022-01-01,28970.0,20870.0,26890.0,26650.0,25240.0,35510.0,31740.0,23390.0,25800.0,24870.0,23120.0,29640.0,21910.0,31120.0,27450.0,33400.0,31650.0,30720.0,22720.0,41560.0,36000.0,18040.0,24830.0,50000.0,48610.0,29240.0,25160.0,24910.0,28030.0,30380.0,35750.0,23360.0,26670.0,28710.0
2022-01-02,29900.0,20710.0,25600.0,26950.0,25240.0,31850.0,30020.0,23550.0,26010.0,24630.0,23770.0,29610.0,24990.0,30500.0,28180.0,33200.0,31320.0,34680.0,23610.0,41300.0,37210.0,18230.0,29660.0,48200.0,50160.0,28750.0,24770.0,24360.0,27200.0,30260.0,35630.0,23790.0,25690.0,28460.0
2022-01-03,28970.0,20510.0,26390.0,27290.0,24620.0,34880.0,31250.0,23730.0,25910.0,24810.0,23390.0,29840.0,24760.0,30500.0,28430.0,33400.0,31850.0,33850.0,23000.0,41640.0,39900.0,17680.0,24780.0,44270.0,49510.0,27870.0,24140.0,24740.0,26750.0,30080.0,34980.0,22620.0,26270.0,28050.0
2022-01-04,29600.0,20180.0,26630.0,27450.0,24370.0,35260.0,31640.0,23300.0,25950.0,24910.0,23710.0,30110.0,25420.0,30350.0,30220.0,31690.0,30610.0,30720.0,22930.0,43990.0,36080.0,17810.0,25870.0,48200.0,49670.0,28330.0,24450.0,24710.0,28800.0,29950.0,34920.0,23010.0,26800.0,27800.0
2022-01-05,29540.0,19960.0,26610.0,27710.0,24210.0,35260.0,34010.0,23640.0,25700.0,24580.0,23330.0,30440.0,25570.0,30150.0,30220.0,33140.0,30990.0,33850.0,23670.0,43160.0,36440.0,17920.0,26000.0,44270.0,46590.0,28240.0,24640.0,24780.0,28990.0,30240.0,34000.0,23330.0,25360.0,27670.0
2022-01-06,29410.0,20350.0,26760.0,27150.0,24370.0,33490.0,35350.0,23920.0,25730.0,24640.0,23390.0,29920.0,25650.0,30000.0,28500.0,33140.0,29970.0,30900.0,22970.0,44400.0,36020.0,18940.0,25230.0,45790.0,49080.0,28520.0,24640.0,24790.0,29070.0,30230.0,34200.0,22740.0,25490.0,28370.0
2022-01-07,30960.0,19960.0,25830.0,26840.0,24200.0,30910.0,35330.0,23700.0,25670.0,24590.0,23100.0,29370.0,25820.0,29810.0,27850.0,33320.0,30720.0,32060.000000000004,23770.0,45180.0,37360.0,19050.0,25070.0,45300.0,49440.0,28960.0,24970.0,24360.0,29070.0,30300.0,34980.0,22430.0,25300.0,28100.0
2022-01-08,30550.0,19830.0,26030.0,26160.0,24200.0,33130.0,36550.0,23490.0,25720.0,24230.0,22820.0,30180.0,25900.0,30110.0,27170.0,33140.0,30420.0,32340.000000000004,23540.0,45570.0,36100.0,19290.0,24340.0,44260.0,49830.0,27340.0,24800.0,25260.0,29620.0,30470.0,37760.0,22730.0,24980.0,28080.0
2022-01-09,29840.0,19410.0,26460.0,26260.0,23660.0,33130.0,35630.0,24310.0,25830.0,24110.0,22300.0,30280.0,26040.0,30440.0,29070.0,33320.0,30850.0,34900.0,23430.0,46570.0,35700.0,19470.0,26180.0,52440.0,49220.0,27630.0,24460.0,24280.0,29570.0,30340.0,37680.0,22720.0,25570.0,27740.0
2022-01-10,29800.0,19700.0,26140.0,26260.0,23660.0,33130.0,36560.0,24310.0,25390.0,24720.0,22410.0,30070.0,25460.0,30220.0,26950.0,33990.0,30570.0,34520.0,23420.0,44530.0,36540.0,19530.0,26110.0,44260.0,49130.0,27630.0,24620.0,24360.0,28990.0,30670.0,38340.0,22060.0,25940.0,28060.0
