Date,Aceh,Bali,Banten,Bengkulu,DI Yogyakarta,DKI Jakarta,Gorontalo,Jambi,Jawa Barat,Jawa Tengah,Jawa Timur,Kalimantan Barat,Kalimantan Selatan,Kalimantan Tengah,Kalimantan Timur,Kalimantan Utara,Kepulauan Bangka Belitung,Kepulauan Riau,Lampung,Maluku Utara,Maluku,Nusa Tenggara Barat,Nusa Tenggara Timur,Papua Barat,Papua,Riau,Sulawesi Barat,Sulawesi Selatan,Sulawesi Tengah,Sulawesi Tenggara,Sulawesi Utara,Sumatera Barat,Sumatera Selatan,Sumatera Utara
2022-01-01,27440.0,22390.0,27240.0,25960.0,24940.0,32770.0,30950.0,25130.0,27010.0,24340.0,23390.0,28120.0,24490.0,29790.0,28060.0,32990.0,26900.0,28420.0,25750.0,41320.0,35290.0,25730.0,32900.0,50000.0,41210.0,27460.0,27950.0,27580.0,32880.0,32940.0,35040.0,26700.0,26540.0,29250.0
2022-01-02,29070.0,22590.0,26430.0,26590.0,24940.0,29490.0,30800.0,25380.0,27000.0,24510.0,24290.0,28620.0,25980.0,29550.0,28370.0,32990.0,26480.0,30110.0,25310.0,40190.0,36680.0,25000.0,35800.0,44810.0,44050.0,27320.0,27440.0,27400.0,32290.0,31430.0,34380.0,25970.0,26380.0,30420.0
2022-01-03,27970.0,22640.0,27550.0,27080.0,24360.0,32180.0,31560.0,25740.0,27080.0,24410.0,23750.0,28200.0,25990.0,29550.0,28980.0,32990.0,28200.0,29270.0,25180.0,39950.0,38390.0,25730.0,32270.000000000004,41820.0,41580.0,27360.0,27440.0,27630.0,32290.0,32580.0,33620.0,26030.0,26720.0,29900.0
2022-01-04,28140.0,22090.0,26600.0,26970.0,24360.0,32180.0,31920.0,25240.0,27360.0,24360.0,23870.0,28480.0,26210.0,29730.0,31020.0,31230.0,26780.0,29130.0,24710.0,41630.0,35910.0,25330.0,33230.0,44810.0,41290.0,27260.0,27440.0,27470.0,32340.000000000004,32540.0,32640.0,26060.0,26730.0,29400.0
2022-01-05,27590.0,22100.0,26470.0,27180.0,23740.0,32180.0,32410.0,25220.0,27460.0,24410.0,23660.0,28430.0,26210.0,29450.0,31020.0,32390.0,28030.0,30710.0,24780.0,40720.0,36090.0,25970.0,33230.0,42040.0,39790.0,26530.0,27440.0,27350.0,32310.000000000004,32590.000000000004,33190.0,26030.0,25340.0,28970.0
2022-01-06,27530.0,22140.0,26650.0,26700.0,24770.0,32180.0,32070.0,25340.0,27190.0,24540.0,23260.0,28250.0,25980.0,29300.0,28630.0,32390.0,27110.0,28910.0,24600.0,41630.0,35630.0,25790.0,33320.0,42740.0,40710.0,27090.0,26790.0,27500.0,31960.0,32730.0,33050.0,26060.0,25760.0,29110.0
2022-01-07,27900.0,22690.0,27530.0,26760.0,24560.0,30100.0,31770.0,25140.0,26980.0,24440.0,23680.0,28100.0,26210.0,29110.0,28540.0,32390.0,27300.0,28470.0,24810.0,42850.0,37550.0,25370.0,32770.0,42620.0,40030.0,27350.0,27790.0,27500.0,32310.000000000004,32720.0,33510.0,26540.0,25580.0,29150.0
2022-01-08,27760.0,22690.0,27080.0,27020.0,24560.0,32180.0,32400.0,25140.0,27140.0,24520.0,23610.0,28200.0,26140.0,29640.0,28480.0,32390.0,27140.0,27860.0,24020.0,42260.0,35840.0,25490.0,33500.0,41250.0,42250.0,27140.0,27440.0,27620.0,32310.000000000004,32800.0,33350.0,26520.0,25860.0,29340.0
2022-01-09,27780.0,22690.0,27300.0,26080.0,23980.0,32180.0,31990.0,25480.0,27300.0,24590.0,23580.0,28420.0,26490.0,29690.0,30470.0,31950.0,27400.0,29960.0,25140.0,43610.0,35340.0,25820.0,34790.0,46370.0,41410.0,27420.0,27600.0,27540.0,31500.0,32960.0,33950.0,25880.0,26000.0,28860.0
2022-01-10,27940.0,22840.0,26730.0,26460.0,24360.0,32180.0,33090.0,25220.0,27800.0,24180.0,23890.0,28520.0,26260.0,29670.0,30710.0,31950.0,26710.0,31300.0,24900.0,41710.0,35530.0,25880.0,33860.0,41250.0,41530.0,27280.0,27440.0,27360.0,31610.0,32050.0,32720.0,26210.0,26510.0,29000.0
2022-01-11,28780.0,22840.0,27140.0,26650.0,24360.0,32180.0,33830.0,25310.0,27040.0,24340.0,23640.0,28390.0,26170.0,29670.0,30230.0,32320.0,27690.0,31110.0,24830.0,43290.0,35590.0,26300.0,32830.0,41530.0,41200.0,27530.0,28430.0,27360.0,31540.0,31980.0,32600.0,26740.0,26450.0,28840.0
2022-01-12,29070.0,22640.0,26730.0,26760.0,23980.0,31650.0,33630.0,25650.0,27370.0,24210.0,23640.0,28390.0,26190.0,29540.0,30480.0,32320.0,27330.0,30810.0,25100.0,41890.0,35030.0,25430.0,33190.0,36210.0,39590.0,27600.0,28080.0,27600.0,31630.0,31530.0,32650.0,26770.0,26200.0,28860.0
2022-01-13,29310.0,22640.0,27000.0,26650.0,23980.0,32180.0,33540.0,25650.0,26970.0,24480.0,23720.0,28240.0,26380.0,28860.0,30890.0,32740.000000000004,27490.0,32180.0,25060.0,43360.0,33790.0,25270.0,32790.0,42230.0,40060.0,27470.0,28590.0,27590.0,31370.0,32080.0,32600.0,26430.0,26180.0,28770.0
2022-01-14,29300.0,22970.0,26690.0,26650.0,23770.0,32180.0,34300.0,25650.0,27280.0,24070.0,23850.0,28310.0,26230.0,29060.0,30360.0,32740.000000000004,27650.0,30810.0,25000.0,42440.0,35040.0,24720.0,33090.0,40950.0,40060.0,27810.0,29020.0,27570.0,31830.0,32080.0,33320.0,26140.0,26110.0,28350.0
2022-01-15,29180.0,22970.0,26600.0,26650.0,23770.0,33090.0,32860.0,25650.0,27320.0,24150.0,23900.0,28100.0,26150.0,29700.0,30990.0,32740.000000000004,27330.0,30980.0,24630.0,42440.0,34520.0,25490.0,33560.0,41290.0,39740.0,27630.0,28690.0,27570.0,31500.0,32310.000000000004,33770.0,26250.0,26190.0,28660.0
2022-01-16,29090.0,22580.0,26210.0,26650.0,23770.0,30650.0,34540.0,25650.0,27120.0,24400.0,23710.0,28670.0,26330.0,29570.0,30810.0,32740.000000000004,27260.0,31510.0,24830.0,41880.0,35730.0,26200.0,33890.0,42430.0,40970.0,27320.0,29020.0,27470.0,31250.0,32520.000000000004,33990.0,26030.0,26640.0,29140.0
2022-01-17,29240.0,22810.0,27000.0,26650.0,24380.0,32640.0,32490.000000000004,25410.0,27220.0,24350.0,23410.0,28690.0,26080.0,29660.0,31490.0,32740.000000000004,27600.0,31530.0,24500.0,41960.0,36900.0,26340.0,33750.0,41170.0,41170.0,27650.0,28690.0,27430.0,31570.0,32520.000000000004,33040.0,26350.0,26350.0,28510.0
2022-01-18,28850.0,22810.0,26880.0,26650.0,24380.0,32180.0,31600.0,25500.0,27210.0,24760.0,23800.0,28490.0,26230.0,29870.0,31740.0,32740.000000000004,27260.0,30300.0,24960.0,42460.0,35880.0,26250.0,33740.0,41680.0,41170.0,27280.0,28690.0,27280.0,31500.0,32550.0,33470.0,26780.0,26520.0,28610.0
2022-01-19,28540.0,23110.0,26740.0,26650.0,24380.0,32030.0,32540.0,25500.0,27340.0,24490.0,23470.0,28590.0,26300.0,29560.0,31670.0,33200.0,27920.0,31530.0,24070.0,42460.0,35630.0,26280.0,33580.0,41680.0,41570.0,27070.0,28690.0,27330.0,31990.0,32790.0,34000.0,26610.0,25930.0,28330.0
2022-01-20,28600.0,23110.0,26470.0,26960.0,24380.0,32180.0,31100.0,25410.0,27370.0,24750.0,23590.0,28590.0,26160.0,28830.0,30140.0,33200.0,28220.0,30930.0,24010.0,42190.0,35670.0,25970.0,33220.0,41680.0,40240.0,27570.0,29430.0,27500.0,31660.0,32920.0,33860.0,26410.0,25720.0,28130.0
2022-01-21,28480.0,22510.0,26250.0,26540.0,23980.0,32180.0,32590.000000000004,25370.0,27160.0,24750.0,23690.0,28400.0,26010.0,28710.0,31120.0,34210.0,28110.0,30680.0,24180.0,41510.0,35260.0,25580.0,33430.0,43600.0,40350.0,27560.0,29430.0,27580.0,31160.0,32780.0,32850.0,26740.0,25840.0,28350.0
2022-01-22,28380.0,22630.0,26430.0,26250.0,24380.0,33090.0,33200.0,25810.0,27160.0,24780.0,23490.0,28590.0,26250.0,28850.0,29670.0,33990.0,27810.0,31100.0,24180.0,41890.0,35870.0,25580.0,32960.0,41110.0,40240.0,27110.0,29430.0,27710.0,31070.0,33150.0,31910.0,26750.0,26020.0,28030.0
2022-01-23,28280.0,22630.0,26230.0,26270.0,24380.0,32180.0,33120.0,25640.0,27400.0,24760.0,23540.0,29250.0,26390.0,28850.0,31410.0,33990.0,28090.0,29490.0,24230.0,41040.0,36680.0,25520.0,33360.0,43800.0,40420.0,27160.0,29250.0,27630.0,31930.0,33150.0,32140.0,26760.0,26140.0,28400.0
2022-01-24,28350.0,22970.0,26610.0,26560.0,24580.0,32180.0,33290.0,25730.0,27260.0,25120.0,23700.0,28350.0,26330.0,29010.0,30930.0,34430.0,27180.0,31750.0,23960.0,41890.0,36820.0,26480.0,32750.0,41860.0,40290.0,27400.0,28690.0,27590.0,31380.0,32910.0,32140.0,26260.0,25420.0,28230.0
2022-01-25,28290.0,22970.0,25580.0,26560.0,24470.0,31820.0,32820.0,25470.0,27030.0,24740.0,23790.0,28680.0,26430.0,29180.0,30780.0,33990.0,27260.0,32110.0,24260.0,41690.0,36990.0,26380.0,32960.0,41450.0,39500.0,27190.0,28860.0,27480.0,31200.0,32780.0,32260.0,26670.0,25620.0,28520.0
2022-01-26,28350.0,22640.0,26490.0,26460.0,24580.0,32640.0,32850.0,25370.0,26960.0,24620.0,23930.0,28940.0,26320.0,28950.0,30490.0,33990.0,27240.0,32200.000000000004,24290.0,41690.0,36670.0,27000.0,33120.0,41210.0,39530.0,27760.0,29190.0,27330.0,31020.0,32980.0,32260.0,26140.0,25990.0,28200.0
2022-01-27,28400.0,22870.0,26080.0,26850.0,24970.0,32180.0,32610.0,25370.0,27050.0,24900.0,23710.0,28260.0,25540.0,28580.0,30710.0,34210.0,27680.0,31960.0,24560.0,42250.0,36650.0,26360.0,33010.0,41210.0,39600.0,28000.0,29190.0,27320.0,31850.0,33340.0,32260.0,25960.0,26060.0,28060.0
