Date,Aceh,Bali,Banten,Bengkulu,DI Yogyakarta,DKI Jakarta,Gorontalo,Jambi,Jawa Barat,Jawa Tengah,Jawa Timur,Kalimantan Barat,Kalimantan Selatan,Kalimantan Tengah,Kalimantan Timur,Kalimantan Utara,Kepulauan Bangka Belitung,Kepulauan Riau,Lampung,Maluku Utara,Maluku,Nusa Tenggara Barat,Nusa Tenggara Timur,Papua Barat,Papua,Riau,Sulawesi Barat,Sulawesi Selatan,Sulawesi Tengah,Sulawesi Tenggara,Sulawesi Utara,Sumatera Barat,Sumatera Selatan,Sumatera Utara
2022-01-01,11030.0,10290.0,9960.0,10100.0,9650.0,11270.0,10190.0,9990.0,10140.0,10130.0,9910.0,12300.0,12750.0,12110.0,11850.0,12640.0,10240.0,12380.0,10340.0,12790.0,11900.0,9860.0,11310.0,13000.0,12390.0,12560.0,9880.0,9550.0,10070.0,10220.0,10940.0,12250.0,10360.0,11290.0
2022-01-02,10950.0,10320.0,9800.0,10130.0,9650.0,11010.0,10120.0,10110.0,10160.0,10180.0,9880.0,12390.0,11550.0,12170.0,11710.0,12640.0,10240.0,13170.0,10240.0,12740.0,12230.0,9970.0,11390.0,12970.0,12950.0,12630.0,9980.0,9570.0,9940.0,10090.0,10950.0,12210.0,10370.0,11400.0
2022-01-03,10970.0,10340.0,10040.0,10170.0,9610.0,11010.0,10190.0,10080.0,10170.0,10230.0,9870.0,12320.0,11730.0,12110.0,11750.0,12640.0,10240.0,13140.0,10290.0,12710.0,12690.0,9860.0,10930.0,12780.0,12910.0,12490.0,9810.0,9540.0,10180.0,10100.0,10890.0,12100.0,10320.0,11360.0
2022-01-04,10990.0,10470.0,9900.0,10230.0,9610.0,11010.0,10260.0,10000.0,10180.0,10220.0,9920.0,12340.0,11890.0,12110.0,11720.0,12800.0,10240.0,12800.0,10190.0,12640.0,12410.0,9930.0,10960.0,12970.0,12910.0,12440.0,9810.0,9560.0,10270.0,10120.0,10890.0,12120.0,10300.0,11300.0
2022-01-05,11050.0,10490.0,9750.0,10200.0,9470.0,11010.0,10250.0,10080.0,10180.0,10230.0,9880.0,12340.0,11850.0,12110.0,11750.0,12640.0,10240.0,12780.0,10220.0,12780.0,12360.0,9980.0,10850.0,12780.0,12820.0,12610.0,9810.0,9590.0,10230.0,10070.0,10850.0,12090.0,10370.0,11200.0
2022-01-06,11000.0,10490.0,9970.0,10200.0,9670.0,11010.0,10290.0,9990.0,10160.0,10240.0,9870.0,12340.0,11890.0,12110.0,11790.0,12640.0,10300.0,12750.0,10350.0,12780.0,12140.0,9980.0,10870.0,13050.0,12810.0,12560.0,9880.0,9570.0,10160.0,10210.0,10830.0,12210.0,10390.0,11250.0
2022-01-07,11010.0,10210.0,10040.0,10200.0,9710.0,11010.0,10340.0,10000.0,10240.0,10230.0,9880.0,12260.0,11890.0,12110.0,11700.0,12640.0,10240.0,12380.0,10300.0,12830.0,12510.0,9980.0,10740.0,13010.0,12770.0,12690.0,9590.0,9530.0,10320.0,10240.0,10890.0,12090.0,10410.0,11220.0
2022-01-08,11050.0,10210.0,9880.0,10230.0,9710.0,11010.0,10340.0,10000.0,10210.0,10250.0,9820.0,12310.0,11890.0,12030.0,11580.0,12640.0,10290.0,12750.0,10350.0,12640.0,11990.0,9730.0,10870.0,13010.0,12910.0,12560.0,9720.0,9550.0,10250.0,10350.0,10790.0,12230.0,10310.0,11270.0
2022-01-09,11010.0,10210.0,10070.0,10230.0,9730.0,11010.0,10330.0,10170.0,10150.0,10330.0,9920.0,12310.0,11950.0,12030.0,11820.0,12640.0,10270.0,13140.0,10400.0,12660.0,11910.0,9800.0,11260.0,13490.0,12920.0,12530.0,9720.0,9550.0,10180.0,10270.0,10860.0,12120.0,10350.0,11250.0
2022-01-10,10980.0,10210.0,9970.0,10330.0,9730.0,11010.0,10340.0,10160.0,10110.0,10180.0,9960.0,12260.0,11730.0,12030.0,11800.0,12640.0,10210.0,12990.0,10390.0,12740.0,12150.0,9980.0,10960.0,13010.0,13010.0,12600.0,9770.0,9600.0,10240.0,10210.0,10710.0,12170.0,10300.0,11320.0
2022-01-11,10900.0,10210.0,10030.0,10280.0,9730.0,11060.0,10330.0,10430.0,10170.0,10250.0,10010.0,12270.0,11850.0,12110.0,11770.0,12460.0,10210.0,13260.0,10210.0,12920.0,12110.0,9980.0,10840.0,13010.0,13010.0,12600.0,9630.0,9590.0,10250.0,10200.0,10780.0,12140.0,10150.0,11200.0
2022-01-12,10910.0,10160.0,9970.0,10280.0,9730.0,11070.0,10270.0,10170.0,10130.0,10230.0,9920.0,12270.0,11840.0,12110.0,11890.0,12460.0,10210.0,13300.0,10160.0,12810.0,12100.0,9980.0,10860.0,12980.0,13000.0,12600.0,9770.0,9570.0,10250.0,10320.0,10760.0,12190.0,10160.0,11210.0
2022-01-13,10900.0,10160.0,10110.0,10280.0,9570.0,11060.0,10270.0,10170.0,10200.0,10210.0,9990.0,12220.0,11850.0,12010.0,11830.0,12460.0,10270.0,13300.0,10330.0,12720.0,11930.0,9920.0,10740.0,12820.0,13100.0,12580.0,9770.0,9530.0,10130.0,10130.0,10790.0,12230.0,10220.0,11230.0
2022-01-14,10870.0,10210.0,9970.0,10320.0,9690.0,11060.0,10230.0,10170.0,10180.0,10180.0,9950.0,12270.0,11960.0,12120.0,11890.0,12460.0,10350.0,13300.0,10290.0,12740.0,12120.0,9850.0,10750.0,13010.0,13210.0,12500.0,9770.0,9590.0,10220.0,10210.0,10790.0,12210.0,10160.0,11220.0
2022-01-15,10940.0,10210.0,10030.0,10320.0,9690.0,11280.0,10230.0,10170.0,10140.0,10180.0,9800.0,12270.0,11840.0,12040.0,11880.0,12460.0,10350.0,13300.0,10330.0,12640.0,12010.0,9970.0,10840.0,12780.0,13080.0,12530.0,9770.0,9610.0,10220.0,10210.0,10790.0,12180.0,10220.0,11090.0
2022-01-16,10880.0,10290.0,9900.0,10320.0,9690.0,11360.0,10230.0,10170.0,10190.0,10220.0,9960.0,12330.0,11680.0,12040.0,11890.0,12460.0,10350.0,13300.0,10370.0,12640.0,12240.0,9720.0,10960.0,12960.0,13120.0,12520.0,9770.0,9590.0,10170.0,10210.0,10780.0,12060.0,10320.0,11210.0
2022-01-17,10860.0,10410.0,10110.0,10320.0,9690.0,10880.0,10210.0,10170.0,10180.0,10160.0,9910.0,12290.0,11880.0,12040.0,11900.0,12460.0,10350.0,13300.0,10380.0,12640.0,12140.0,9930.0,10840.0,12820.0,12910.0,12600.0,9910.0,9570.0,10220.0,10210.0,10790.0,12070.0,10190.0,11110.0
2022-01-18,10820.0,10240.0,9890.0,10320.0,9690.0,11060.0,10160.0,10170.0,10180.0,10200.0,9940.0,12310.0,11830.0,12040.0,11910.0,12460.0,10350.0,13030.0,10440.0,12640.0,11970.0,9880.0,10760.0,12820.0,13110.0,12660.0,9770.0,9540.0,10130.0,10130.0,10720.0,12080.0,10190.0,11130.0
2022-01-19,10810.0,10350.0,10030.0,10320.0,9710.0,11060.0,10070.0,10170.0,10080.0,10160.0,10040.0,12380.0,11830.0,11860.0,11900.0,12460.0,10260.0,13300.0,10580.0,12580.0,11970.0,9740.0,10810.0,12840.0,13260.0,12680.0,9770.0,9570.0,10180.0,10160.0,10740.0,12150.0,10190.0,11120.0
2022-01-20,10740.0,10420.0,10030.0,10300.0,9710.0,11060.0,10160.0,10170.0,10130.0,10120.0,9950.0,12380.0,11830.0,11860.0,11750.0,12460.0,10210.0,13300.0,10700.0,12640.0,12050.0,9930.0,10790.0,12840.0,13260.0,12660.0,9770.0,9590.0,10080.0,10150.0,10890.0,12260.0,10180.0,11140.0
2022-01-21,10900.0,10420.0,9970.0,10320.0,9710.0,11060.0,10070.0,10170.0,10140.0,10100.0,9970.0,12510.0,12010.0,11860.0,11910.0,12460.0,10240.0,13260.0,10690.0,12550.0,12000.0,9970.0,10830.0,12980.0,13260.0,12660.0,9770.0,9570.0,10180.0,10150.0,10850.0,12130.0,10230.0,11130.0
