Date,Aceh,Bali,Banten,Bengkulu,DI Yogyakarta,DKI Jakarta,Gorontalo,Jambi,Jawa Barat,Jawa Tengah,Jawa Timur,Kalimantan Barat,Kalimantan Selatan,Kalimantan Tengah,Kalimantan Timur,Kalimantan Utara,Kepulauan Bangka Belitung,Kepulauan Riau,Lampung,Maluku Utara,Maluku,Nusa Tenggara Barat,Nusa Tenggara Timur,Papua Barat,Papua,Riau,Sulawesi Barat,Sulawesi Selatan,Sulawesi Tengah,Sulawesi Tenggara,Sulawesi Utara,Sumatera Barat,Sumatera Selatan,Sumatera Utara
2022-01-01,12080.0,11500.0,11210.0,11350.0,11250.0,12660.0,11230.0,12090.0,11580.0,11610.0,11460.0,13870.0,14970.0,14930.0,13250.0,14150.0,12630.0,13790.0,11470.0,14190.0,14270.0,10870.0,12540.0,15000.0,14810.0,14300.0,11320.0,10930.0,11680.0,11890.0,12170.0,13410.0,11540.0,12720.0
2022-01-02,12020.0,11500.0,11210.0,11400.0,11250.0,12660.0,11290.0,11980.0,11600.0,11560.0,11330.0,13930.0,14250.0,14930.0,13450.0,14150.0,12630.0,14300.0,11530.0,14160.0,14330.0,10980.0,12530.0,14980.0,15310.0,14370.0,11430.0,10920.0,11390.0,11870.0,12240.0,13340.0,11630.0,12710.0
2022-01-03,11990.0,11500.0,11290.0,11370.0,11210.0,12390.0,11230.0,12130.0,11620.0,11680.0,11350.0,13840.0,14550.0,14930.0,13390.0,14150.0,12630.0,14410.0,11480.0,13990.0,14590.0,10870.0,12370.0,14730.0,15000.0,14340.0,11350.0,10890.0,11630.0,11730.0,12070.0,13240.0,11510.0,12510.0
2022-01-04,12050.0,11630.0,11210.0,11410.0,11210.0,12390.0,11330.0,12090.0,11610.0,11630.0,11410.0,14000.0,14790.0,14930.0,13460.0,14180.0,12630.0,13790.0,11500.0,13990.0,14440.0,10890.0,12380.0,14980.0,15000.0,14460.0,11300.0,10920.0,11630.0,11720.0,12070.0,13310.0,11460.0,12450.0
2022-01-05,12180.0,11670.0,11250.0,11590.0,11050.0,12390.0,11350.0,12130.0,11610.0,11650.0,11290.0,14000.0,14740.0,14930.0,13370.0,14150.0,12630.0,14410.0,11530.0,14140.0,14390.0,10880.0,12420.0,14730.0,14820.0,14470.0,11350.0,10890.0,11630.0,11860.0,11980.0,13300.0,11490.0,12430.0
2022-01-06,12160.0,11750.0,11280.0,11590.0,11270.0,12390.0,11360.0,12090.0,11630.0,11650.0,11340.0,14000.0,14740.0,14850.0,13290.0,14150.0,12490.0,13500.0,11530.0,14140.0,14320.0,10990.0,12370.0,14980.0,15010.0,14470.0,11210.0,10920.0,11530.0,11860.0,11940.0,13270.0,11390.0,12510.0
2022-01-07,12200.0,11490.0,11290.0,11610.0,11350.0,12470.0,11390.0,12120.0,11600.0,11590.0,11290.0,13920.0,14690.0,14930.0,13280.0,14150.0,12630.0,13790.0,11560.0,14160.0,14440.0,10990.0,12280.0,14870.0,15000.0,14460.0,10930.0,10930.0,11680.0,11790.0,11940.0,13210.0,11590.0,12510.0
2022-01-08,12190.0,11490.0,11290.0,11500.0,11530.0,12390.0,11390.0,12120.0,11620.0,11610.0,11340.0,14000.0,14680.0,14930.0,13160.0,14150.0,12530.0,13500.0,11710.0,13990.0,14160.0,10830.0,12390.0,14870.0,15190.0,14570.0,11180.0,10920.0,11600.0,11770.0,11980.0,13420.0,11450.0,12470.0
2022-01-09,12180.0,11490.0,11570.0,11500.0,11530.0,12390.0,11390.0,12200.0,11590.0,11840.0,11320.0,14000.0,14660.0,14930.0,13160.0,14150.0,12500.0,14500.0,11700.0,13990.0,13990.0,10870.0,12650.0,15490.0,15390.0,14520.0,11180.0,10940.0,11450.0,11700.0,12030.0,13220.0,11370.0,12480.0
2022-01-10,12090.0,11490.0,11280.0,11500.0,11530.0,12390.0,11360.0,12170.0,11490.0,11590.0,11310.0,13920.0,14760.0,14930.0,13220.0,14150.0,12500.0,14070.0,11500.0,14160.0,14250.0,10990.0,12370.0,14840.0,14930.0,14520.0,11260.0,10940.0,11600.0,11730.0,11850.0,13340.0,11620.0,12570.0
