Date,Aceh,Bali,Banten,Bengkulu,DI Yogyakarta,DKI Jakarta,Gorontalo,Jambi,Jawa Barat,Jawa Tengah,Jawa Timur,Kalimantan Barat,Kalimantan Selatan,Kalimantan Tengah,Kalimantan Timur,Kalimantan Utara,Kepulauan Bangka Belitung,Kepulauan Riau,Lampung,Maluku Utara,Maluku,Nusa Tenggara Barat,Nusa Tenggara Timur,Papua Barat,Papua,Riau,Sulawesi Barat,Sulawesi Selatan,Sulawesi Tengah,Sulawesi Tenggara,Sulawesi Utara,Sumatera Barat,Sumatera Selatan,Sumatera Utara
2022-01-01,,76680.0,80020.0,43040.0,63490.0,98730.0,64110.0,51740.0,91430.0,65209.99999999999,68440.0,127570.0,111130.0,108470.0,97550.0,114140.0,136710.0,76440.0,54080.0,111340.0,110890.0,70020.0,59480.0,100000.0,105460.0,60000.0,72680.0,66000.0,84750.0,83440.0,98580.0,,68790.0,55000.0
2022-01-02,,74370.0,81700.0,45830.0,64110.0,98730.0,63440.0,59810.0,93530.0,64400.00000000001,68950.0,122850.0,90180.0,108470.0,90200.0,113210.0,129780.0,88820.0,59010.0,107240.0,108780.0,69280.0,60490.0,97430.0,100990.0,60000.0,67780.0,64250.0,82800.0,77920.0,90400.0,,68220.0,68410.0
2022-01-03,,72660.0,84630.0,53330.0,70680.0,97420.0,67340.0,66470.0,86060.0,66410.0,65790.0,123450.0,90090.0,92260.0,90790.0,114680.0,121590.0,81790.0,58900.0,100370.0,106850.0,68360.0,44570.0,104860.0,96970.0,65000.0,68490.0,62610.0,61150.0,72530.0,89100.0,,71500.0,74700.0
2022-01-04,,75000.0,88680.0,53840.0,69670.0,95730.0,63990.0,65410.0,88960.0,64760.00000000001,62990.0,124500.0,93510.0,109370.0,98980.0,105350.0,119220.0,81900.0,54580.0,97480.0,117430.0,65680.0,44750.0,97190.0,93580.0,,64209.99999999999,60620.0,78500.0,72470.0,79590.0,,66170.0,70360.0
2022-01-05,50000.0,70020.0,79400.0,53840.0,63250.0,88960.0,62670.0,64750.0,87970.0,58780.0,57070.0,119000.0,98030.0,105880.0,98240.0,99490.0,123320.0,89420.0,54000.0,88180.0,115410.0,54790.0,50570.0,100650.0,98180.0,65000.0,65310.0,60440.0,75770.0,73930.0,76580.0,,66420.0,70360.0
2022-01-06,50000.0,54710.0,73770.0,52350.0,46670.0,80320.0,52130.0,63750.0,83590.0,53600.0,49780.0,113410.0,94600.0,89840.0,94160.0,92640.0,120150.0,89720.0,56490.0,85610.0,114540.0,48930.0,49900.0,89860.0,90110.0,65000.0,60860.0,57550.0,68130.0,72320.0,67740.0,,60400.0,69710.0
2022-01-07,31620.0,53740.0,67710.0,53500.0,45860.0,73340.0,49930.0,64780.0,80480.0,50230.0,47460.0,112510.0,92710.0,104200.0,90010.0,90710.0,113840.0,80600.0,56940.0,79660.0,79300.0,44610.0,48300.0,103840.0,90510.0,62500.0,66790.0,55690.0,69770.0,71180.0,65770.0,,62910.0,66410.0
2022-01-08,50000.0,53730.0,68450.0,58550.0,45860.0,76210.0,54760.0,57110.0,77700.0,45770.0,47220.0,114230.0,91910.0,99260.0,82430.0,91890.0,117010.0,85290.0,56090.0,81350.0,107080.0,41620.0,47190.0,110060.0,88060.0,62500.0,64349.99999999999,51690.0,62400.0,67310.0,60980.0,,63270.0,68410.0
2022-01-09,50000.0,53540.0,64940.0,53780.0,41160.0,76210.0,53390.0,63340.0,73870.0,45480.0,46130.0,107870.0,89140.0,99940.0,85440.0,85860.0,114060.0,88000.0,58220.0,80000.0,98980.0,42580.0,54030.0,72660.0,88680.0,65000.0,64349.99999999999,50900.0,62530.0,69940.0,54740.0,,61970.0,72590.0
2022-01-10,50000.0,49030.0,64989.99999999999,54870.0,37380.0,71140.0,45650.0,60990.0,66350.0,42600.0,43900.0,101790.0,88260.0,94120.0,79200.0,79500.0,105570.0,81500.0,56780.0,77760.0,105490.0,39590.0,46880.0,59470.0,89280.0,47500.0,64730.00000000001,51540.0,62350.0,64220.0,53750.0,,60700.0,64540.00000000001
