Date,Aceh,Bali,Banten,Bengkulu,DI Yogyakarta,DKI Jakarta,Gorontalo,Jambi,Jawa Barat,Jawa Tengah,Jawa Timur,Kalimantan Barat,Kalimantan Selatan,Kalimantan Tengah,Kalimantan Timur,Kalimantan Utara,Kepulauan Bangka Belitung,Kepulauan Riau,Lampung,Maluku Utara,Maluku,Nusa Tenggara Barat,Nusa Tenggara Timur,Papua Barat,Papua,Riau,Sulawesi Barat,Sulawesi Selatan,Sulawesi Tengah,Sulawesi Tenggara,Sulawesi Utara,Sumatera Barat,Sumatera Selatan,Sumatera Utara
2022-01-01,30540.0,38390.0,37610.0,39680.0,36180.0,35990.0,31710.0,37210.0,37640.0,35620.0,34460.0,41950.0,25460.0,41630.0,36400.0,45960.0,40280.0,39980.0,34240.0,43870.0,43070.0,41180.0,50420.0,38000.0,44810.0,34770.0,30880.0,26460.0,39410.0,33530.0,36550.0,29780.0,35470.0,36090.0
2022-01-02,31390.0,38340.0,36440.0,38820.0,35970.0,36480.0,31200.0,36680.0,37350.0,35260.0,34890.0,42630.0,32120.0,41480.0,36660.0,45330.0,40590.0,38850.0,33860.0,43200.0,44750.0,40430.0,46920.0,40930.0,43750.0,35100.0,32290.0,26130.0,38640.0,32500.0,35480.0,31230.0,35410.0,36670.0
2022-01-03,30980.0,38660.0,37440.0,39740.0,35590.0,37160.0,31490.0,37690.0,37080.0,35260.0,35110.0,41860.0,31220.0,41310.0,36610.0,45330.0,41150.0,39840.0,33140.0,44430.0,46490.0,41910.0,44460.0,41560.0,43910.0,35030.0,31900.0,26270.0,34620.0,34580.0,35980.0,31780.0,35680.0,35790.0
2022-01-04,31680.0,38660.0,37320.0,40960.0,35590.0,36180.0,31320.0,37700.0,37040.0,35000.0,35350.0,42330.0,31770.0,41770.0,39550.0,45410.0,40650.0,40220.0,33330.0,46300.0,46680.0,41510.0,44390.0,41260.0,43750.0,37220.0,31560.0,26200.0,38840.0,34840.0,35710.0,31180.0,36010.0,36540.0
2022-01-05,32620.0,38340.0,36900.0,40960.0,35480.0,36370.0,31250.0,37720.0,36690.0,34830.0,35000.0,42270.0,31870.0,41490.0,38910.0,45720.0,40880.0,39840.0,32920.0,43940.0,46500.0,41130.0,44330.0,41560.0,42830.0,37010.0,31220.0,26240.0,38410.0,34540.0,35470.0,32110.0,34430.0,35860.0
2022-01-06,31480.0,40100.0,36890.0,41470.0,34980.0,36180.0,31340.0,38000.0,36960.0,34960.0,34840.0,42700.0,32590.000000000004,41610.0,37380.0,45720.0,40760.0,38880.0,32550.0,43040.0,45050.0,41090.0,43430.0,40620.0,43290.0,37700.0,31370.0,26330.0,37850.0,34570.0,34920.0,31200.0,35800.0,36080.0
2022-01-07,29790.0,39220.0,37620.0,42150.0,34980.0,35200.0,31170.0,37990.0,36700.0,34830.0,34850.0,42760.0,32400.0,42200.0,35850.0,45720.0,42050.0,39770.0,32370.0,44430.0,43460.0,41930.0,43280.0,46880.0,43600.0,36770.0,31050.0,26210.0,38640.0,35160.0,35070.0,30800.0,36110.0,36100.0
2022-01-08,31180.0,38910.0,36570.0,41430.0,34760.0,35200.0,31490.0,39120.0,36690.0,35000.0,34550.0,42990.0,34240.0,42170.0,36380.0,45720.0,42190.0,39710.0,32560.000000000004,44930.0,44950.0,43410.0,42630.0,44620.0,44490.0,36940.0,31050.0,26670.0,38640.0,34270.0,35860.0,31510.0,35910.0,37140.0
2022-01-09,32150.0,38300.0,36900.0,42960.0,35540.0,35200.0,31280.0,39270.0,36550.0,35370.0,34680.0,41710.0,33060.0,42760.0,38380.0,45280.0,41900.0,40600.0,32800.0,45800.0,43140.0,42080.0,47520.0,39950.0,43290.0,38450.0,30740.0,27080.0,37720.0,34230.0,36330.0,31130.0,36930.0,38070.0
2022-01-10,32680.0,40560.0,36030.0,44840.0,35540.0,34990.0,30650.0,41100.0,36570.0,35510.0,34730.0,41430.0,34700.0,42920.0,40730.0,45280.0,41000.0,40250.0,32980.0,42810.0,44960.0,42150.0,42410.0,44730.0,43960.0,38740.0,30100.0,27200.0,38390.0,34130.0,35380.0,32850.0,36550.0,37580.0
2022-01-11,32390.0,41680.0,36180.0,44200.0,35330.0,37000.0,31290.0,43100.0,36360.0,35940.0,35250.0,42230.0,34720.0,42000.0,39510.0,45280.0,42770.0,40210.0,33030.0,42810.0,41840.0,41930.0,44360.0,45480.0,43300.0,38370.0,29830.0,27540.0,38340.0,34630.0,34150.0,31960.0,36460.0,37880.0
2022-01-12,33090.0,39720.0,37040.0,45900.0,35120.0,37770.0,30840.0,43910.0,36750.0,36140.0,35620.0,42330.0,35610.0,42560.0,41410.0,44870.0,41800.0,39820.0,33100.0,43920.0,45360.0,43160.0,45610.0,47320.0,43880.0,38050.0,29910.0,27740.0,37810.0,33790.0,36170.0,32840.0,35940.0,38680.0
2022-01-13,33170.0,41360.0,38180.0,46000.0,34060.0,36590.0,31180.0,44100.0,37170.0,36370.0,35420.0,41980.0,35020.0,42960.0,42300.0,44460.0,42090.0,40630.0,33150.0,46500.0,45840.0,42120.0,45190.0,44190.0,43300.0,38510.0,30740.0,28070.0,36510.0,34220.0,36010.0,34170.0,35450.0,37910.0
2022-01-14,32510.0,41720.0,37890.0,45420.0,35040.0,38430.0,31630.0,42790.0,37580.0,36280.0,36460.0,42020.0,34750.0,42720.0,41370.0,44270.0,42800.0,40500.0,33430.0,46340.0,46150.0,41720.0,45930.0,43430.0,44400.0,38580.0,30360.0,28200.0,37320.0,34030.0,36010.0,32600.0,35540.0,37890.0
2022-01-15,32290.0,42000.0,38030.0,45530.0,35810.0,39340.0,31760.0,44290.0,37760.0,36640.0,36550.0,42270.0,34650.0,43130.0,42460.0,44450.0,42230.0,40630.0,34090.0,46340.0,44950.0,44630.0,47690.0,41050.0,43660.0,37470.0,30750.0,28290.0,37060.0,34050.0,36010.0,34240.0,36000.0,37970.0
2022-01-16,32060.000000000004,41420.0,37340.0,45420.0,36270.0,39340.0,32070.0,44480.0,37690.0,36000.0,36610.0,42600.0,34580.0,42850.0,39280.0,43840.0,41920.0,40250.0,33800.0,45090.0,43880.0,42780.0,45720.0,41950.0,44350.0,38790.0,30830.0,28310.0,36390.0,34270.0,36080.0,33120.0,36250.0,38180.0
2022-01-17,32080.0,41350.0,37620.0,45280.0,36480.0,38040.0,32300.0,44300.0,38160.0,36950.0,37050.0,42840.0,33790.0,42850.0,40750.0,43650.0,41220.0,40170.0,33310.0,46340.0,44460.0,43930.0,46480.0,43760.0,42740.0,37700.0,30690.0,28440.0,37620.0,34300.0,36330.0,34020.0,36230.0,37240.0
2022-01-18,32050.0,42340.0,37530.0,46110.0,36280.0,37220.0,32610.0,44180.0,37760.0,36840.0,37040.0,41880.0,34490.0,42970.0,41440.0,43870.0,40460.0,39880.0,34560.0,46340.0,45760.0,43930.0,45500.0,44480.0,42740.0,37430.0,30740.0,27880.0,37620.0,34360.0,35960.0,33780.0,36280.0,37480.0
2022-01-19,31850.0,42000.0,37400.0,46010.0,36280.0,38370.0,32610.0,43770.0,37880.0,37050.0,37250.0,41880.0,34230.0,43330.0,39660.0,44080.0,41610.0,39900.0,33950.0,46340.0,47130.0,44170.0,45280.0,44480.0,42080.0,37490.0,30740.0,28340.0,37420.0,34390.0,36150.0,33940.0,36220.0,37270.0
2022-01-20,32050.0,41720.0,37160.0,45040.0,36470.0,38390.0,32570.0,44330.0,38160.0,37240.0,37240.0,41940.0,34410.0,43060.0,37560.0,43880.0,42400.0,39900.0,33900.0,46340.0,45970.0,44700.0,45810.0,44480.0,42660.0,37700.0,30260.0,28200.0,36910.0,34520.0,36430.0,34590.0,36130.0,36980.0
2022-01-21,32480.0,42710.0,36740.0,44400.0,36680.0,38010.0,32820.0,44130.0,38030.0,37040.0,37110.0,42350.0,33930.0,42760.0,39340.0,43160.0,41400.0,39420.0,34600.0,45070.0,47530.0,45430.0,46680.0,44190.0,42660.0,37760.0,30170.0,28090.0,37720.0,34520.0,35280.0,35310.0,36150.0,36680.0
2022-01-22,32200.000000000004,42340.0,36570.0,44500.0,36680.0,38810.0,32910.0,44460.0,37390.0,36900.0,37630.0,42110.0,33110.0,42690.0,37280.0,43360.0,40990.0,40310.0,33990.0,46080.0,47580.0,46050.0,44460.0,41010.0,42750.0,37570.0,29990.0,28380.0,38040.0,34520.0,36460.0,34060.0,36350.0,36510.0
2022-01-23,32020.000000000004,42340.0,38600.0,44200.0,36680.0,38010.0,32950.0,43060.0,37850.0,37050.0,37420.0,43570.0,33960.0,42670.0,39780.0,42970.0,40810.0,39850.0,33880.0,47810.0,44970.0,43370.0,44700.0,39900.0,43480.0,37950.0,30070.0,27760.0,36090.0,34520.0,36110.0,34570.0,36330.0,36890.0
