Date,Aceh,Bali,Banten,Bengkulu,DI Yogyakarta,DKI Jakarta,Gorontalo,Jambi,Jawa Barat,Jawa Tengah,Jawa Timur,Kalimantan Barat,Kalimantan Selatan,Kalimantan Tengah,Kalimantan Timur,Kalimantan Utara,Kepulauan Bangka Belitung,Kepulauan Riau,Lampung,Maluku Utara,Maluku,Nusa Tenggara Barat,Nusa Tenggara Timur,Papua Barat,Papua,Riau,Sulawesi Barat,Sulawesi Selatan,Sulawesi Tengah,Sulawesi Tenggara,Sulawesi Utara,Sumatera Barat,Sumatera Selatan,Sumatera Utara
2022-01-01,13520.0,12670.0,13240.0,13280.0,12590.0,14480.0,13610.0,12950.0,13150.0,12680.0,12220.0,13320.0,12990.0,13420.0,13110.0,13750.0,13240.0,11960.0,13150.0,14790.0,15060.0,13640.0,14820.0,15000.0,14780.0,13030.0,13780.0,13120.0,14170.0,14000.0,14090.0,13440.0,12990.0,13960.0
2022-01-02,13540.0,12710.0,12920.0,13160.0,12590.0,14000.0,13440.0,13000.0,13210.0,12670.0,12180.0,13400.0,12930.0,13420.0,13770.0,13750.0,13080.0,12460.0,13290.0,14830.0,15180.0,13560.0,14490.0,14830.0,15490.0,12950.0,13640.0,13170.0,14020.0,13680.0,13990.0,13370.0,12980.0,13950.0
2022-01-03,13430.0,12800.0,13080.0,13210.0,12590.0,14320.0,13610.0,12950.0,13200.0,12680.0,12290.0,13370.0,12810.0,13420.0,13740.0,13750.0,13240.0,12420.0,13200.0,15140.0,15480.0,13640.0,14640.0,14350.0,15330.0,12990.0,13550.0,13120.0,14160.0,13730.0,14020.0,13350.0,12970.0,13710.0
2022-01-04,13580.0,12800.0,13180.0,13300.0,12590.0,14320.0,13500.0,12950.0,13230.0,12670.0,12200.0,13310.0,12980.0,13420.0,13840.0,13500.0,13240.0,11960.0,13270.0,15280.0,15140.0,13570.0,14560.0,14830.0,14630.0,13070.0,13640.0,13180.0,14430.0,13790.0,13990.0,13350.0,12980.0,13710.0
2022-01-05,13460.0,12780.0,13060.0,13320.0,12870.0,14320.0,13490.0,12950.0,13200.0,12680.0,12200.0,13310.0,12900.0,13340.0,13920.0,13750.0,13240.0,12590.0,13350.0,15140.0,15140.0,13530.0,14630.0,14350.0,15210.0,13170.0,13640.0,13200.0,14430.0,13810.0,13880.0,13360.0,12980.0,13750.0
2022-01-06,13380.0,12710.0,13180.0,13160.0,12800.0,14320.0,13490.0,13000.0,13220.0,12670.0,12230.0,13240.0,12980.0,13420.0,14010.0,13750.0,13480.0,11760.0,13280.0,14290.0,15160.0,13570.0,14450.0,14300.0,15320.0,13200.0,13560.0,13140.0,14240.0,13870.0,13950.0,13340.0,12980.0,13750.0
2022-01-07,13370.0,12780.0,13080.0,13160.0,12800.0,13790.0,13530.0,13000.0,13110.0,12690.0,12200.0,13300.0,12980.0,13420.0,13740.0,13750.0,13240.0,12100.0,13360.0,14170.0,15250.0,13700.0,14410.0,14880.0,15280.0,13060.0,13730.0,13210.0,14340.0,13930.0,14060.0,13390.0,13010.0,13920.0
2022-01-08,13460.0,12780.0,13080.0,13090.0,12800.0,14320.0,13490.0,13000.0,13200.0,12690.0,12210.0,13280.0,13050.0,13550.0,13740.0,13750.0,13060.0,11890.0,13150.0,14290.0,15110.0,13800.0,14360.0,14460.0,15320.0,13100.0,13730.0,13170.0,14340.0,13910.0,13950.0,13410.0,13080.0,13860.0
2022-01-09,13510.0,12780.0,13090.0,13090.0,12900.0,14320.0,13500.0,13000.0,13240.0,12680.0,12260.0,13320.0,13100.0,13630.0,13780.0,13750.0,13280.0,12620.0,13300.0,14990.0,15000.0,13590.0,14280.0,15000.0,15400.0,13120.0,13730.0,13190.0,14240.0,14040.0,13940.0,13410.0,13030.0,13710.0
2022-01-10,13490.0,12860.0,13180.0,13090.0,12960.0,14140.0,13500.0,13000.0,13230.0,12800.0,12420.0,13400.0,13060.0,13770.0,13960.0,13750.0,13280.0,12430.0,13130.0,14830.0,15100.0,13570.0,14480.0,14670.0,15280.0,13130.0,13820.0,13150.0,14390.0,13960.0,13520.0,13390.0,13140.0,13800.0
