Date,Aceh,Bali,Banten,Bengkulu,DI Yogyakarta,DKI Jakarta,Gorontalo,Jambi,Jawa Barat,Jawa Tengah,Jawa Timur,Kalimantan Barat,Kalimantan Selatan,Kalimantan Tengah,Kalimantan Timur,Kalimantan Utara,Kepulauan Bangka Belitung,Kepulauan Riau,Lampung,Maluku Utara,Maluku,Nusa Tenggara Barat,Nusa Tenggara Timur,Papua Barat,Papua,Riau,Sulawesi Barat,Sulawesi Selatan,Sulawesi Tengah,Sulawesi Tenggara,Sulawesi Utara,Sumatera Barat,Sumatera Selatan,Sumatera Utara
2022-01-01,27550.0,26010.0,30480.0,26370.0,28990.0,32200.000000000004,29250.0,27350.0,30740.0,28960.0,27470.0,30410.0,26720.0,30490.0,29970.0,32170.0,29400.0,27800.0,30270.0,35680.0,34430.0,26740.0,37520.0,32430.0,38110.0,29560.0,25960.0,26130.0,29240.0,29080.0,31010.0,29730.0,29110.0,27660.0
2022-01-02,27520.0,26180.0,30130.0,27050.0,28370.0,30980.0,28750.0,27280.0,30420.0,28130.0,27250.0,30380.0,29620.0,30490.0,29550.0,32390.0,28860.0,29740.0,29290.0,35560.0,33840.0,28690.0,37280.0,38060.0,37930.0,29550.0,25410.0,26210.0,28680.0,28490.0,30570.0,29380.0,28790.0,27820.0
2022-01-03,28000.0,26100.0,30200.0,27280.0,26760.0,30860.0,28900.0,27740.0,29510.0,26950.0,26900.0,29730.0,29650.0,30630.0,29340.0,32700.000000000004,29400.0,28750.0,29250.0,34670.0,36000.0,27030.0,36480.0,35740.0,36440.0,29370.0,25810.0,26050.0,28240.0,29280.0,30760.0,29500.0,29100.0,27940.0
2022-01-04,27850.0,26100.0,29180.0,27740.0,26570.0,30690.0,28860.0,27250.0,29070.0,26380.0,26020.0,30590.0,29810.0,30670.0,31280.0,33840.0,28890.0,27650.0,28890.0,34310.0,34810.0,27040.0,36320.0,35520.0,36740.0,29500.0,26440.0,25820.0,28100.0,29160.0,30530.0,29350.0,28100.0,28290.0
2022-01-05,28350.0,25990.0,28530.0,27210.0,26460.0,29880.0,28810.0,27650.0,28860.0,25870.0,25830.0,30720.0,29550.0,30260.0,31470.0,34390.0,28580.0,29220.0,28610.0,34590.0,34490.0,27050.0,35450.0,35730.0,35790.0,29120.0,25950.0,25730.0,28050.0,29490.0,30580.0,28690.0,27610.0,28280.0
2022-01-06,28360.0,24320.0,28220.0,27170.0,24090.0,29560.0,28630.0,27150.0,27910.0,25130.0,25110.0,30530.0,29590.0,30080.0,29370.0,34390.0,29830.0,28350.0,28630.0,35860.0,34850.0,26230.0,34810.0,36340.0,36270.0,29250.0,24970.0,25510.0,27940.0,29320.0,29920.0,28710.0,27590.0,28520.0
2022-01-07,28380.0,24740.0,27430.0,27020.0,23980.0,27520.0,28540.0,27250.0,27640.0,24850.0,24800.0,30590.0,30260.0,30080.0,29570.0,34390.0,29660.0,28680.0,28720.0,35970.0,35500.0,26690.0,34390.0,36480.0,37110.0,28670.0,24390.0,25300.0,28160.0,29290.0,29670.0,28160.0,26930.0,28740.0
2022-01-08,27790.0,24670.0,28050.0,25780.0,24170.0,28960.0,28500.0,27250.0,27330.0,24710.0,24580.0,30760.0,28990.0,30450.0,29300.0,33670.0,29970.0,28820.0,28470.0,34970.0,34510.0,27030.0,34620.0,34290.0,37120.0,28850.0,24740.0,25090.0,29830.0,29120.0,29780.0,28950.0,26340.0,28800.0
2022-01-09,28960.0,24380.0,26770.0,25360.0,23970.0,28450.0,28160.0,27310.0,26740.0,24170.0,24570.0,30760.0,28830.0,30360.0,32480.0,32540.0,29970.0,29500.0,28180.0,35620.0,34130.0,26370.0,36230.0,35390.0,36520.0,28500.0,24740.0,24990.0,28210.0,29290.0,30160.0,28510.0,26300.0,28740.0
2022-01-10,28180.0,24160.0,27060.0,25780.0,23200.0,27960.0,28050.0,28990.0,26040.0,23690.0,23590.0,30630.0,28690.0,30290.0,32070.0,32040.0,29970.0,28270.0,27600.0,35530.0,34640.0,26510.0,34560.0,34450.0,36270.0,28110.0,24740.0,24830.0,27820.0,29190.0,29680.0,28720.0,26310.0,29000.0
2022-01-11,27750.0,23830.0,26510.0,25480.0,23200.0,27260.0,27790.0,27270.0,25870.0,23620.0,23700.0,30540.0,28100.0,29990.0,33120.0,32380.000000000004,29850.0,31010.0,26970.0,39370.0,35420.0,26690.0,33230.0,35240.0,36490.0,28030.0,24310.0,24980.0,28050.0,28940.0,29230.0,29060.0,26250.0,28670.0
2022-01-12,27770.0,22680.0,25520.0,25460.0,22590.0,26300.0,27370.0,27200.0,25510.0,23180.0,23240.0,30470.0,27950.0,30020.0,34120.0,31960.0,29760.0,31010.0,26670.0,35580.0,34520.0,26820.0,33450.0,33410.0,36440.0,27730.0,24540.0,25170.0,28200.0,28620.0,28660.0,28770.0,25660.0,28220.0
