Date,Aceh,Bali,Banten,Bengkulu,DI Yogyakarta,DKI Jakarta,Gorontalo,Jambi,Jawa Barat,Jawa Tengah,Jawa Timur,Kalimantan Barat,Kalimantan Selatan,Kalimantan Tengah,Kalimantan Timur,Kalimantan Utara,Kepulauan Bangka Belitung,Kepulauan Riau,Lampung,Maluku Utara,Maluku,Nusa Tenggara Barat,Nusa Tenggara Timur,Papua Barat,Papua,Riau,Sulawesi Barat,Sulawesi Selatan,Sulawesi Tengah,Sulawesi Tenggara,Sulawesi Utara,Sumatera Barat,Sumatera Selatan,Sumatera Utara
2022-01-01,8910.0,9000.0,9090.0,8189.999999999999,8150.0,8990.0,7580.0,7940.0,8050.000000000001,8029.999999999999,8090.0,9100.0,7480.0,8310.0,7940.0,8490.0,9810.0,9920.0,8340.0,9690.0,11260.0,8010.0,9800.0,11000.0,10550.0,9400.0,8660.0,7920.0,9670.0,9420.0,10380.0,8240.0,8000.0,8630.0
2022-01-02,8860.0,9050.0,8960.0,8290.0,8150.0,8360.0,7500.0,7990.0,8050.000000000001,8109.999999999999,8100.0,9200.0,7790.0,8310.0,9440.0,8490.0,9810.0,9760.0,8270.0,9740.0,10890.0,8280.0,9190.0,10320.0,10380.0,9660.0,8870.0,7990.0,9270.0,9640.0,10090.0,8360.0,7930.0,8690.0
2022-01-03,8860.0,9100.0,9040.0,8360.0,8150.0,9950.0,7620.0,7940.0,8000.0,7910.0,8140.000000000001,9270.0,7850.0,8310.0,8980.0,8490.0,10140.0,10240.0,8180.0,9780.0,10870.0,8010.0,9710.0,10650.0,10260.0,9660.0,8540.0,7890.0,9210.0,9590.0,10210.0,8340.0,7760.0,8600.0
2022-01-04,8820.0,9100.0,9020.0,8410.0,8150.0,9520.0,7560.0,7940.0,8000.0,7930.0,8119.999999999999,9280.0,7930.0,8310.0,9570.0,8320.0,9810.0,9920.0,8420.0,9780.0,10800.0,7900.0,9480.0,10320.0,10340.0,9690.0,8630.0,7990.0,9620.0,9640.0,10210.0,8360.0,7820.0,8570.0
2022-01-05,8920.0,9120.0,9170.0,8360.0,8400.0,10040.0,7530.0,7940.0,8000.0,7970.0,8070.0,9150.0,7930.0,8310.0,9570.0,8490.0,9980.0,10240.0,8350.0,9780.0,10800.0,7700.0,9430.0,10650.0,10240.0,9660.0,8460.0,8010.0,9620.0,9550.0,10210.0,8300.0,7900.0,8620.0
2022-01-06,8760.0,9000.0,9020.0,8360.0,8360.0,10040.0,7570.0,7940.0,7960.0,7970.0,8000.0,9150.0,8010.0,8310.0,9440.0,8490.0,10210.0,9270.0,8230.0,9780.0,10900.0,7900.0,8870.0,10880.0,10370.0,9400.0,8710.0,7940.0,9570.0,9630.0,10130.0,8460.0,7750.0,8610.0
2022-01-07,8730.0,9130.0,9040.0,8360.0,8360.0,9690.0,7560.0,7940.0,7980.0,7950.0,7990.0,9090.0,8050.000000000001,8380.0,8980.0,8490.0,10290.0,9920.0,8119.999999999999,9740.0,11230.0,7890.0,9140.0,11230.0,10340.0,9270.0,8540.0,7940.0,9710.0,9640.0,10140.0,8550.0,8000.0,8720.0
2022-01-08,8910.0,9130.0,9390.0,8330.0,8180.0,10040.0,7600.0,8029.999999999999,8000.0,7990.0,7930.0,9300.0,8050.000000000001,8380.0,8980.0,8490.0,10100.0,9270.0,8450.0,9780.0,10800.0,7720.0,8660.0,10910.0,10280.0,9560.0,8710.0,7960.0,9710.0,9480.0,10170.0,8570.0,8029.999999999999,8700.0
2022-01-09,8860.0,9130.0,9270.0,8210.0,8470.0,10040.0,7600.0,8070.0,8000.0,8060.000000000001,8000.0,9350.0,8140.000000000001,8380.0,9220.0,8490.0,10100.0,10180.0,8320.0,9740.0,10890.0,7790.0,8920.0,10490.0,10460.0,9270.0,8550.0,7920.0,9570.0,9490.0,10330.0,8280.0,7960.0,8680.0
2022-01-10,8960.0,9210.0,9020.0,8210.0,8470.0,10040.0,7570.0,8109.999999999999,8039.999999999999,8020.0,7980.0,9300.0,8050.000000000001,8380.0,9320.0,8490.0,10100.0,9810.0,8170.0,9740.0,11000.0,7900.0,9440.0,10770.0,10370.0,9670.0,8490.0,7940.0,9710.0,9760.0,10250.0,8480.0,8050.000000000001,8540.0
2022-01-11,8920.0,9210.0,9170.0,8119.999999999999,8470.0,10040.0,7620.0,8240.0,8039.999999999999,7950.0,8160.0,9380.0,8080.0,8380.0,9140.0,8490.0,10240.0,10080.0,7990.0,9830.0,11120.0,7890.0,9900.0,11120.0,10280.0,9670.0,8240.0,7940.0,9710.0,9760.0,10210.0,8590.0,7880.0,8570.0
2022-01-12,9000.0,9160.0,9020.0,8300.0,8560.0,9690.0,7600.0,8109.999999999999,8060.000000000001,8070.0,8080.0,9380.0,8260.0,8440.0,9420.0,8490.0,10100.0,10080.0,8039.999999999999,9810.0,11000.0,7880.0,9760.0,11310.0,10390.0,9670.0,8490.0,8020.0,9710.0,9850.0,10200.0,8650.0,8020.0,8560.0
2022-01-13,9040.0,9160.0,9170.0,8300.0,8560.0,10040.0,7600.0,8109.999999999999,8050.000000000001,8140.000000000001,8200.0,9290.0,8189.999999999999,8380.0,9210.0,8490.0,10100.0,10160.0,8150.0,10030.0,11130.0,7890.0,9810.0,11060.0,10370.0,9740.0,8490.0,7990.0,9570.0,9690.0,10450.0,8600.0,8020.0,8550.0
2022-01-14,9060.0,9210.0,9040.0,8300.0,8560.0,10040.0,7740.0,8109.999999999999,8070.0,8160.0,8180.0,9380.0,8270.0,8380.0,9300.0,8490.0,10240.0,10160.0,8200.0,10030.0,10910.0,7830.0,9960.0,10880.0,10310.0,9700.0,8570.0,8070.0,9800.0,9760.0,10280.0,8690.0,8020.0,8640.0
2022-01-15,9140.0,9210.0,9020.0,8300.0,8560.0,10270.0,7780.0,8109.999999999999,8130.000000000001,8090.0,7990.0,9450.0,8350.0,8560.0,9620.0,8490.0,10240.0,10090.0,8310.0,10210.0,11230.0,8100.0,9660.0,10620.0,10240.0,9750.0,8570.0,8109.999999999999,9800.0,9760.0,10250.0,8550.0,8090.0,8640.0
2022-01-16,9140.0,9100.0,9170.0,8300.0,8670.0,9870.0,7730.0,8109.999999999999,8109.999999999999,8200.0,8210.0,9570.0,8300.0,8560.0,9060.0,8490.0,9820.0,10110.0,8180.0,10210.0,11230.0,8070.0,9400.0,10750.0,10440.0,9380.0,8570.0,8160.0,9570.0,9810.0,10280.0,8510.0,8200.0,8550.0
2022-01-17,9140.0,9080.0,9170.0,8410.0,8570.0,9860.0,7730.0,8109.999999999999,8160.0,8280.0,8240.0,9600.0,8540.0,8620.0,9180.0,8490.0,9960.0,10440.0,8240.0,10210.0,11150.0,7920.0,9790.0,11060.0,10370.0,9770.0,8570.0,8180.0,9710.0,9810.0,10310.0,8710.0,8170.0,8620.0
2022-01-18,9100.0,9240.0,9020.0,8410.0,8570.0,10040.0,7760.0,8109.999999999999,8220.0,8189.999999999999,8210.0,9420.0,8500.0,8600.0,9200.0,8740.0,9820.0,10210.0,8210.0,10210.0,11020.0,8029.999999999999,9560.0,10850.0,10370.0,9770.0,8570.0,8290.0,9800.0,9740.0,10250.0,8700.0,8200.0,8590.0
2022-01-19,9140.0,9350.0,9020.0,8410.0,8570.0,10040.0,7760.0,8109.999999999999,8360.0,8250.0,8160.0,9490.0,8450.0,8740.0,9350.0,8740.0,10100.0,10320.0,8380.0,10210.0,10820.0,7940.0,9560.0,10850.0,10400.0,9520.0,8570.0,8240.0,9800.0,9810.0,10200.0,8650.0,8200.0,8650.0
2022-01-20,9140.0,9350.0,9020.0,8590.0,8570.0,10040.0,7820.0,8109.999999999999,8380.0,8250.0,8230.0,9450.0,8450.0,8810.0,9040.0,8740.0,9960.0,10160.0,8300.0,10210.0,11020.0,8029.999999999999,9690.0,10850.0,10400.0,9680.0,8570.0,8240.0,9640.0,9810.0,10200.0,8620.0,8260.0,8590.0
2022-01-21,9160.0,9490.0,9390.0,8580.0,8470.0,10040.0,7820.0,8109.999999999999,8480.0,8280.0,8260.0,9490.0,8490.0,8810.0,9630.0,8740.0,9960.0,9750.0,8170.0,10030.0,10910.0,7910.0,9580.0,11070.0,10400.0,9680.0,8570.0,8189.999999999999,9800.0,9810.0,10330.0,8800.0,8260.0,8710.0
2022-01-22,9130.0,9410.0,9040.0,8580.0,8370.0,10270.0,7690.0,8180.0,8500.0,8330.0,8180.0,9450.0,8540.0,8810.0,8730.0,8740.0,10100.0,10160.0,8360.0,10230.0,10920.0,7910.0,9630.0,10370.0,10400.0,9530.0,8570.0,8240.0,9800.0,9810.0,10320.0,8530.0,8260.0,8650.0
2022-01-23,9120.0,9410.0,9020.0,8680.0,8370.0,10040.0,7760.0,8109.999999999999,8500.0,8270.0,8340.0,9630.0,8450.0,8810.0,8930.0,8740.0,10100.0,10200.0,8400.0,10300.0,11140.0,8050.000000000001,9390.0,10490.0,10490.0,9380.0,8570.0,8200.0,9640.0,9810.0,10380.0,8660.0,8290.0,8650.0
2022-01-24,9200.0,9780.0,9020.0,8730.0,8370.0,10040.0,7760.0,8109.999999999999,8530.0,8300.0,8310.0,9450.0,8490.0,8810.0,9300.0,8740.0,10120.0,10160.0,8330.0,10030.0,10920.0,8130.000000000001,9680.0,10850.0,10400.0,9630.0,8570.0,8280.0,9800.0,9860.0,10480.0,8550.0,8270.0,8700.0
2022-01-25,9220.0,9780.0,9390.0,8730.0,8460.0,10040.0,7760.0,8200.0,8500.0,8280.0,8490.0,9410.0,8630.0,8810.0,9010.0,8740.0,10100.0,10160.0,8350.0,10210.0,10900.0,8029.999999999999,9680.0,10850.0,10290.0,9630.0,8570.0,8300.0,9800.0,9920.0,10480.0,8600.0,8340.0,8620.0
2022-01-26,9220.0,9600.0,9020.0,8560.0,8370.0,10270.0,7760.0,8200.0,8510.0,8280.0,8510.0,9550.0,8420.0,8740.0,9500.0,8740.0,10100.0,9840.0,8440.0,10210.0,11100.0,8250.0,9660.0,10850.0,10500.0,9630.0,8570.0,8310.0,9800.0,9860.0,10410.0,8360.0,8310.0,8670.0
