Date,Price,Open,High,Low,Vol-K,Change-%
2024-09-30,145.1,149.0,149.0,145.0,10.0,3.83
2024-09-27,139.75,139.75,139.75,139.75,0.0,0.11
2024-09-26,139.6,139.6,139.6,139.6,0.0,-0.11
2024-09-25,139.75,139.75,139.75,139.75,0.0,0.18
2024-09-24,139.5,139.5,139.5,139.5,0.0,0.0
2024-09-23,139.5,139.5,139.5,139.5,0.0,0.0
2024-09-20,139.5,139.5,139.5,139.5,0.0,0.0
2024-09-19,139.5,140.0,140.0,140.0,10.0,0.36
2024-09-18,139.0,139.0,139.0,139.0,0.0,-0.47
2024-09-17,139.65,139.0,139.0,139.0,0.0,1.75
2024-09-16,137.25,137.25,137.25,137.25,0.0,-0.47
2024-09-13,137.9,137.9,137.9,137.9,0.0,-0.18
2024-09-12,138.15,138.15,138.15,138.15,0.0,-0.61
2024-09-11,139.0,139.0,139.0,139.0,0.0,0.18
2024-09-10,138.75,139.5,139.5,139.5,20.0,-2.05
2024-09-09,141.65,141.65,141.65,141.65,0.0,0.11
2024-09-06,141.5,141.35,141.35,141.35,0.0,0.35
2024-09-05,141.0,141.0,141.0,141.0,10.0,1.08
2024-09-04,139.5,139.5,139.5,139.5,30.0,-1.76
2024-09-03,142.0,142.0,142.0,142.0,50.0,-1.32
2024-09-02,143.9,143.9,143.9,143.9,0.0,-1.57
2024-08-30,146.2,146.2,146.2,146.2,0.0,0.83
2024-08-29,145.0,145.0,145.0,145.0,0.0,0.0
2024-08-28,145.0,145.0,145.0,145.0,0.0,-0.68
2024-08-27,146.0,146.0,146.0,146.0,0.0,0.21
2024-08-26,145.7,145.7,145.7,145.7,0.0,0.34
2024-08-23,145.2,145.2,145.2,145.2,0.0,-1.06
2024-08-22,146.75,146.75,146.75,146.75,0.0,0.58
2024-08-21,145.9,145.9,145.9,145.9,0.0,-0.07
2024-08-20,146.0,148.25,148.25,148.25,10.0,-0.34
2024-08-19,146.5,146.5,146.5,146.5,0.0,-0.17
2024-08-16,146.75,146.75,146.75,146.75,0.0,-2.17
2024-08-15,150.0,150.0,150.0,150.0,10.0,2.92
2024-08-14,145.75,145.75,145.75,145.75,0.0,-0.78
2024-08-13,146.9,146.9,146.9,146.9,0.0,0.1
2024-08-12,146.75,146.75,146.75,146.75,0.0,0.51
